,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,7208.808,315.016,-112.025,292.894,3.134934,0.041361,-0.033206,40.6,0,0,6.744067601157957,-3.417764047908114,0.0608522392324881,-0.0651278388230232,-0.6623304033251746,0.0795696958877951,0.9998520778164922,0.013191627571925896,-0.010590681684518538,0.003104981401555622
125,7209.8,315.38300000000004,-112.039,292.99199999999996,3.134911,0.041317,-0.032812,40.6,0,0,6.718376413075372,-3.431300225877923,-0.0411925092180116,-0.0683461742813615,-0.6612513126727017,0.0797334033247556,0.9998535403748378,0.013177710221332335,-0.010465111885721533,0.0031188437672981686
250,7210.208,321.93699999999995,-112.02900000000001,293.009,3.134896,0.041223,-0.033002,40.6,0,0,6.844511207154107,-3.1801319788208757,0.1420855620027205,-0.0877323584924572,-0.6525248712392867,0.0807786785936591,0.999853275435531,0.013147789136634485,-0.010525758365165349,0.0031259642507634063
375,7211.008,353.692,-112.03399999999999,292.917,3.134936,0.04127,-0.033231,40.6,0,0,7.0231913368245,-4.216575204007029,0.2237987376232159,0.0018284982279735,-0.633222003264728,0.0787964014753725,0.9998523775801651,0.013162599690307366,-0.010598651570356289,0.003104448674665083
500,7211.808,364.959,-112.047,292.88599999999997,3.134866,0.041384,-0.033354,40.6,0,0,6.699457279442319,-3.258442931682797,0.0219647846403944,-0.0785202397310107,-0.6648751778472818,0.0791036367378272,0.9998513706703881,0.013199240134609689,-0.010638107854479306,0.003138039147499393
625,7212.208,369.368,-112.046,292.961,3.134863,0.041427,-0.032893,40.6,0,0,6.8278727225969655,-2.1771251349539957,-0.0204935787879321,-0.1736432188804262,-0.6550625837240758,0.0783945503698649,0.9998527309839842,0.013212985411634738,-0.010491098296881296,0.0031416901351799553
750,7213.008,399.63599999999997,-112.058,292.827,3.134894,0.041407,-0.033793,40.6,0,0,6.832845050715042,-2.752472363234425,0.175378330330991,-0.1223329301752533,-0.655358392913354,0.0791472528229182,0.9998498289532486,0.013206437559760286,-0.010778012037988246,0.0031215389872163743
875,7213.808,414.919,-112.045,292.89,3.134854,0.041458,-0.033527,40.6,0,0,6.716629988062851,-3.415403863166213,0.044918813693542,-0.0661700962397499,-0.6650327700891717,0.0792954149089046,0.9998504549710113,0.01322288060693997,-0.01069331656396537,0.003142626859640894
1000,7214.808,441.88899999999995,-112.04,292.874,3.134837,0.04167,-0.033375,40.6,0,0,6.820130709347721,-3.401302117263535,0.2255267126424394,-0.0643025794461639,-0.6548970563746158,0.0796741421439782,0.9998500494463128,0.013290563930573696,-0.010644890117180157,0.0031505312260918026
1125,7215.408,461.648,-112.018,292.91299999999995,3.134864,0.041573,-0.033409,40.6,0,0,6.787200369029293,-3.334376190094649,0.0175626001431219,-0.0710770193676222,-0.6588630758728612,0.0791461159446084,0.999850388083934,0.013259516260932974,-0.010655646182895382,0.0031374960330206895
1250,7216.608,474.345,-112.041,292.837,3.134803,0.041465,-0.033763,40.6,0,0,6.739227118715755,-3.499263707271844,0.1199744921428939,-0.0597777330524584,-0.6608335286535676,0.0793291041674358,0.9998495368181817,0.013225316246081783,-0.010768753223597232,0.003166810488109729
1375,7217.808,514.002,-112.02900000000001,292.942,3.134735,0.041724,-0.033405,40.6,0,0,6.773093397456283,-3.286129926833685,-0.0392954563836659,-0.0730817719018673,-0.6581112836115531,0.0793085855267319,0.9998495488130853,0.013308213477272294,-0.010654799904330384,0.003201004734692895
1500,7218.6,514.791,-112.06,292.904,3.134759,0.041688,-0.03357,40.6,0,0,6.759322902879901,-3.4289854302863363,0.0547997242074833,-0.0634359540560063,-0.6597876625023068,0.0793478127311308,0.9998491820954906,0.013296624302919878,-0.01070734210921657,0.003188364797480282
1625,7219.408,519.77,-112.041,292.825,3.134776,0.041752,-0.033777,40.6,0,0,6.792832592403316,-3.5455797729866685,0.2511838072562776,-0.05655177814562,-0.6566578543346334,0.0790732992503625,0.9998482350160762,0.013316952633422998,-0.010773297305497429,0.0031783286431248167
