,bolt1,nut1,jig1,bin1
x,408.6323728900803,540.7353425838844,551.6579768669457,642.150346731011
y,-30.905388513519654,159.6848434484227,-107.51988781730321,264.40834625908684
z,38.91406951282944,19.75570289757618,158.89860295309492,54.53045736478205
rx,-0.05237941575188467,-0.7599202490732155,0.016413084526876575,0.044098323467757314
ry,-0.028982876281719524,-0.3793129714521833,-0.023230275329602357,-0.04581737167109868
rz,0.01399271511995229,0.14243310222824296,-0.007472769050322795,-0.009639846069223218
qx,-0.02618558383955814,-0.3683270259183898,0.008206246531126263,0.022045361371230122
qy,-0.014489156205588268,-0.1838498432403123,-0.011614719099782463,-0.02290473732652994
qz,0.006995255858755541,0.06903614030556539,-0.0037362498801917178,-0.004819092279425057
qw,0.9995276113979553,0.9087180247196248,0.999891892283829,0.9994829420253338
