,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,5245.32,315.041,-112.026,292.931,3.134872,0.041475,-0.03317,0.0,0,0,-3.0508472326975284,-1.7500175292950917,-0.1840244162522792,0.0421547295215599,-0.1377368509016745,0.0191664466930951,0.9998516184876045,0.013228242134534806,-0.010579404258047487,0.0031354143733486606
125,5247.32,334.412,-112.054,292.88399999999996,3.134903,0.041158,-0.033143,0.0,0,0,-3.002967211273045,-2.013398636814965,-0.101025173787364,0.0624041485121035,-0.1345774902304825,0.0194959841528102,0.9998530860088403,0.013127026040024794,-0.010570703728182656,0.00312214808008626
250,5249.32,369.29200000000003,-112.057,292.932,3.134888,0.041244,-0.033363,0.0,0,0,-2.966014107247238,-1.3992199777512853,-0.1895653377025516,0.0175813420085544,-0.1303696809922196,0.0192676284307616,0.999851962155126,0.0131545032317346,-0.010640909982551678,0.00312791528239161
375,5251.32,415.025,-112.086,292.974,3.134834,0.041377,-0.032907,0.0,0,0,-3.090936474943341,-1.521270066923677,-0.2052092623098612,0.0241992370264739,-0.1431068201960993,0.0193526778852283,0.9998528456041329,0.013197161697417536,-0.010495661840561638,0.003156444673789802
500,5253.32,464.445,-112.126,292.934,3.13476,0.041223,-0.033158,0.0,0,0,-2.983399522077854,-1.899866473187029,-0.0914548502065423,0.0567643182238479,-0.1328179975557449,0.0192561649641817,0.9998525260210724,0.013148349691895607,-0.010575964366588421,0.003193131280893612
625,5255.32,506.71200000000005,-112.172,292.86899999999997,3.134715,0.041245,-0.033337,0.0,0,0,-2.980903918321489,-1.8755084342955568,-0.2496532709874214,0.0525292319522472,-0.1322172418968529,0.0190656701947839,0.9998517557157883,0.013155545452935175,-0.010633202055146077,0.0032145341724611836
750,5257.32,515.257,-112.122,293.003,3.134716,0.041346,-0.032969,0.0,0,0,-3.041619689858266,-1.7451362215390074,-0.2138398211043408,0.043906738957024,-0.1392225776473787,0.0190335791789691,0.9998525700714241,0.013187767045618519,-0.010515829626251558,0.0032153147886565974
875,5259.328,528.489,-112.181,292.956,3.13468,0.041204,-0.03322,0.0,0,0,-3.0481481868163693,-1.6513172328372412,-0.2085804481098865,0.0342440693950956,-0.139432308378439,0.0195809258056569,0.9998522612596537,0.013142621439171708,-0.010596007285925739,0.00323292209320116
1000,5261.328,539.799,-112.17399999999999,292.885,3.134727,0.041237,-0.033401,0.0,0,0,-2.9377754222562977,-1.931096501845269,-0.1200313320827477,0.0579460707210494,-0.1302237698041548,0.0191981841546938,0.9998515933215927,0.013152941278077014,-0.010653573044330341,0.003208247090985154
1125,5263.328,544.782,-106.097,292.942,3.134644,0.04123,-0.033308,0.0,0,0,-3.0510368721851857,-2.0199585815090084,-0.2018429572345721,0.0642913875607816,-0.1386443627104641,0.0186361882382854,0.9998517949292354,0.013151059420123106,-0.010624193237095812,0.0032502816763740018
1250,5265.328,544.799,-44.093,292.858,3.134636,0.041065,-0.033648,0.0,0,0,-3.167706962102604,-1.8405806462840928,-0.194518291206672,0.0540365027658814,-0.1472374215328309,0.0190268674712428,0.9998513163263387,0.013098456823995224,-0.01073266468315576,0.00325354854222996
1375,5267.328,544.778,5.157,292.80899999999997,3.134591,0.041184,-0.033749,0.0,0,0,-3.102560124783749,-1.7493769117836453,-0.198453284428655,0.0432933676965265,-0.1381576843766546,0.0180851195916443,0.999850399017276,0.013136590653494346,-0.010765025203107535,0.003274721877209704
1500,5269.328,544.815,60.449000000000005,292.88599999999997,3.134598,0.041169,-0.033513,0.0,0,0,-3.129953842675872,-1.771148933096095,-0.2274728270474642,0.0465956382454295,-0.1402132727901875,0.0178272631600952,0.9998512769009301,0.013131788260802307,-0.01068973305118579,0.003272586736431719
1625,5271.328,544.8199999999999,102.357,292.845,3.134627,0.041293,-0.03365,0.0,0,0,-3.117991541261603,-1.7986828141414597,-0.0683662691806689,0.04783600168462,-0.1397216085126811,0.0177624875057043,0.9998503438211956,0.013171206732861242,-0.01073332299810575,0.0032565397671526527
1750,5273.328,544.794,130.793,292.77500000000003,3.134677,0.041517,-0.033946,0.0,0,0,-3.056987370980993,-1.6567167518545067,-0.1990490012445641,0.0373543236077211,-0.1358880858592228,0.0181467251475044,0.9998484783058427,0.013242419960277781,-0.010827545053149059,0.0032284688644464554
1875,5275.328,544.843,143.067,292.777,3.134654,0.041974,-0.033776,0.0,0,0,-3.228804117205013,-2.2576714969435154,0.068418859924156,0.0848761314280273,-0.1481304845325705,0.019655265707733,0.9998470907474106,0.013388266069247775,-0.01077338530411476,0.0032378425976863677
2000,5277.328,544.817,150.575,292.83500000000004,3.134648,0.041276,-0.033744,0.0,0,0,-3.013943312103636,-1.7227240147039071,-0.1894405816622656,0.0427939342183398,-0.1342918211961514,0.0183770961995484,0.9998501303359345,0.013165693238840863,-0.01076323172428157,0.003245648102449624
2125,5279.328,544.809,155.568,292.831,3.134653,0.041443,-0.03373,0.0,0,0,-3.043853724262984,-1.6613943197664498,-0.2275786421855559,0.0383751816935308,-0.1354322513393833,0.0183084804799518,0.9998494876579085,0.01321893119174808,-0.010758742105968748,0.0032421222467630072
2250,5281.328,544.844,105.59599999999999,292.82599999999996,3.134563,0.04127,-0.033784,0.0,0,0,-3.09807432090197,-1.7288438578947944,-0.4022202792459002,0.0420337120717975,-0.1416229937737725,0.0179345277689565,0.9998498720687344,0.013164132997255653,-0.010776279844421735,0.0032879658271325
2375,5283.328,544.825,105.472,292.821,3.134537,0.041346,-0.033748,0.0,0,0,-3.052123635506815,-1.7385665627515212,-0.1823200304477998,0.0440431815310723,-0.1366346950855865,0.0182193629724444,0.9998496321480634,0.013188481390008742,-0.010764883421613095,0.0033006570447086468
2500,5285.328,544.827,152.26899999999998,292.77799999999996,3.134497,0.041406,-0.033831,0.0,0,0,-2.9822178411548776,-1.7123433182306294,-0.1047236496820332,0.0410951611326412,-0.131140697005428,0.0180513460623053,0.9998490271707542,0.013207780648388638,-0.01079148981103309,0.0033198107926321334
2625,5287.328,544.837,155.51000000000002,285.25800000000004,3.134649,0.041348,-0.033604,0.0,0,0,-2.9428216919935246,-1.4344108270961768,-0.3435017392160856,0.0219052062610608,-0.1271624827747512,0.0182533540284323,0.9998503081425139,0.013188657020635059,-0.010718574792527342,0.0032454256622633936
2750,5289.328,544.779,155.523,237.936,3.1345,0.041397,-0.033976,0.0,0,0,-2.9658750994431453,-1.5450592403612833,-0.1726449671155543,0.0300442703510711,-0.1305785691330259,0.0180690659087242,0.9998485726071483,0.013204891166124779,-0.010837726943021365,0.0033175863888355124
2875,5291.328,544.767,155.475,191.978,3.134477,0.041342,-0.034106,0.0,0,0,-3.007385497894078,-1.5220840166210603,-0.205708028071999,0.0244867635284298,-0.1335369163186015,0.019368881920555,0.9998483146658377,0.013187440528328988,-0.010879271604160138,0.003328741738051213
3000,5293.32,544.786,155.473,142.95,3.134515,0.041231,-0.034022,0.0,0,0,-2.72938464488324,-1.5266671088902768,-0.3230392554775074,0.0255741931649012,-0.1045079766785764,0.0182373246216973,0.9998491346534296,0.013151884636345831,-0.010852354274641844,0.0033109318926902555
3125,5295.328,544.7520000000001,155.48899999999998,142.83,3.122026,-0.257187,-0.033213,0.0,0,0,-3.0927491438386,-1.7734606853925243,-0.1736518431038063,0.0478257484152446,-0.1424560015133046,0.0180497021372908,0.9965583946788544,-0.08209472433998645,-0.010601671466691436,0.004407583550951266
3250,5297.336,544.741,155.548,142.725,3.089885,-0.504662,-0.032219,0.0,0,0,-3.0074177302651206,-1.7365673520535838,-0.1768115055658968,0.0422477612465025,-0.1331200115983397,0.0178409883322395,0.9868570615658661,-0.16118051591044752,-0.010290204220089302,0.005300285420208818
3375,5299.336,544.742,155.62699999999998,142.738,3.059911,-0.658036,-0.031277,0.0,0,0,-3.0087615177790448,-1.7988426533184123,-0.1804925801992232,0.0485589390802801,-0.1330316295214019,0.0180195264808126,0.9775837591063465,-0.21023007090967802,-0.009992410639907238,0.0057847166240022185
3500,5301.336,544.682,155.60399999999998,141.388,3.059864,-0.657952,-0.031368,0.0,0,0,-3.239813762059708,-1.975845338794308,-0.2187335486030703,0.062538387493935,-0.1560675698379213,0.0186572727508621,0.9775881471327477,-0.21020740679399005,-0.010021682335966575,0.00581606376033026
3625,5303.336,544.779,155.61700000000002,132.87699999999998,3.060134,-0.657935,-0.030954,0.0,0,0,-3.030282187112879,-1.8072518293727613,-0.1909270084458804,0.0479136291360201,-0.1341487245832558,0.0181475169841274,0.9775950906737637,-0.210184921961732,-0.009888612210025993,0.005687936273906036
3750,5305.336,546.765,160.168,132.713,3.059922,-0.65776,-0.031254,0.0,0,0,-3.0043922198574284,-1.7892050578084764,-0.1811240431500101,0.0482172078668723,-0.1323916001837649,0.0181496695226816,0.977601971045128,-0.21014505352575766,-0.009985212695959056,0.005808460618210312
3875,5307.336,546.755,160.23299999999998,118.045,3.060185,-0.65791,-0.03115,0.0,0,0,-3.4782402732752065,-2.123417734454755,-0.3299099587980552,0.074910725005558,-0.1733199350155275,0.0184651176388123,0.9775969749900086,-0.21017383779597526,-0.009951080006907677,0.005664662672374553
4000,5309.336,546.847,160.18699999999998,103.51299999999999,3.060272,-0.657925,-0.030413,0.0,0,0,-2.7856089406563744,-1.7175732744552157,-0.0787358007902132,0.0413099419382091,-0.113103463096804,0.0180095993502611,0.9775997074887591,-0.2101732419698451,-0.009715391280205038,0.005624184389753362
4125,5310.336,546.874,160.163,103.426,3.060253,-0.658,-0.030359,0.0,0,0,-3.0208112543410404,-1.8002343405283177,-0.1918591796773656,0.0478321770567896,-0.1339513280921671,0.0179483599863041,0.9775946701992518,-0.210197422563137,-0.009698151294216226,0.0056258516959124105
4250,5311.336,546.427,159.286,103.45,3.060323,-0.657788,-0.03046,0.0,0,0,-2.985872783749709,-1.823898344808218,-0.1974879752404962,0.0491076633768045,-0.1303455632157512,0.0178203110755325,0.9776093363643947,-0.21012804535614787,-0.00973033904776047,0.00561342230619717
4375,5312.336,546.454,159.308,103.478,3.060355,-0.657794,-0.030281,0.0,0,0,-3.023952324731025,-1.8156648043791288,-0.1982960372555633,0.0489481779740276,-0.1332764693245505,0.017985284756932,0.9776100217147384,-0.21012791216176707,-0.00967306376794326,0.005598018469659737
4500,5312.336,546.454,159.308,103.478,3.060355,-0.657794,-0.030281,0.0,0,0,-3.023952324731025,-1.8156648043791288,-0.1982960372555633,0.0489481779740276,-0.1332764693245505,0.017985284756932,0.9776100217147384,-0.21012791216176707,-0.00967306376794326,0.005598018469659737
4625,5313.336,546.45,159.291,103.477,3.060321,-0.657978,-0.030387,0.0,0,0,-3.021504882593266,-1.7932558319393104,-0.177410498559016,0.046403582289729,-0.1327217523635827,0.0177128754706533,0.9775971616443028,-0.21018625994606283,-0.009706904913205323,0.005594789709627329
4750,5313.336,546.45,159.291,103.477,3.060321,-0.657978,-0.030387,0.0,0,0,-3.021504882593266,-1.7932558319393104,-0.177410498559016,0.046403582289729,-0.1327217523635827,0.0177128754706533,0.9775971616443028,-0.21018625994606283,-0.009706904913205323,0.005594789709627329
