,bolt1,nut1,jig1,bin1
x,549.8530988623976,696.2778620175068,681.3310882802419,548.6760846507555
y,160.01780384989743,-17.664930382658348,6.399867607076146,-231.4213998597824
z,31.661225954486262,87.34323371469179,84.47149818681223,64.38876579237011
rx,-0.10185346720334065,-0.18736418231740026,0.002895393830918539,0.004499281666952574
ry,0.07461900853326985,0.25792290631637715,0.005598533831404805,-0.019973815791480012
rz,-0.4421336730554969,-0.08123119250755241,-0.02578709246775888,0.06326409725962567
qx,-0.05047928652519343,-0.09326020265594055,0.0014476544077712363,0.0022492264029091782
qy,0.03698169944923818,0.12838068736065275,0.0027991847228321246,-0.009985068099875127
qz,-0.21912452248726788,-0.04043268772899568,-0.01289316764991266,0.03162622134944995
qw,0.973688163213706,0.9865019672947382,0.999911913665176,0.9994473580528316
