,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw,speed
125,2152.944,316.309,-111.97999999999999,292.961,3.135016,0.04136,-0.032958,38.6,0,0,-3.124477061577443,-2.81052430492348,-0.5160110926817842,0.1230754287538477,-0.1432834529353308,0.0263941737889251,0.9998530463089869,0.01319097637630548,-0.010511320101795842,0.0030653023662055236,1.2421199620004697
250,2153.944,350.323,-111.999,292.95799999999997,3.135011,0.041216,-0.033049,38.5,0,0,-3.001427614486815,-1.6342342789984798,-0.3342501385497229,0.0227052319671645,-0.1314286197289529,0.026402702903828,0.999853335978331,0.013145075119571477,-0.010540362665632708,0.0030682711712563112,34.01400543893643
375,2153.944,350.323,-111.999,292.95799999999997,3.135011,0.041216,-0.033049,38.5,0,0,-3.001427614486815,-1.6342342789984798,-0.3342501385497229,0.0227052319671645,-0.1314286197289529,0.026402702903828,0.999853335978331,0.013145075119571477,-0.010540362665632708,0.0030682711712563112,34.01400543893643
500,2155.944,381.653,-112.026,292.993,3.134999,0.041095,-0.032879,38.6,0,0,-3.2673117075120914,-2.074159281669953,-0.6006889780467471,0.0543742916452105,-0.1567233794164417,0.0263049407422865,0.9998543876863507,0.013106548379112907,-0.01048619550205264,0.003075958034768853,16.601249260221408
625,2156.944,414.225,-112.035,292.897,3.134966,0.041176,-0.033152,38.6,0,0,-2.992695603421503,-2.23432386028158,-0.26988870845135,0.0717572590661824,-0.1324355584857691,0.0258116140736374,0.9998530843458101,0.013132503064155426,-0.010573361705432308,0.003090486965872183,32.572142714288844
750,2156.944,414.225,-112.035,292.897,3.134966,0.041176,-0.033152,38.6,0,0,-2.992695603421503,-2.23432386028158,-0.26988870845135,0.0717572590661824,-0.1324355584857691,0.0258116140736374,0.9998530843458101,0.013132503064155426,-0.010573361705432308,0.003090486965872183,32.572142714288844
875,2157.944,425.57800000000003,-112.056,292.845,3.134944,0.041118,-0.033233,38.5,0,0,-3.1665285141438018,-1.463746104546323,-0.2785807202606251,0.0059094286609484,-0.147243304379346,0.0253599261782531,0.9998530177320174,0.013114095940184289,-0.010599269185761574,0.0031014371793462807,11.353138508800118
1000,2158.944,461.971,-112.005,292.989,3.134938,0.041395,-0.032712,38.5,0,0,-3.0447841594241014,-1.8912246760043177,-0.4347587365042638,0.045097718246141,-0.1382483656608041,0.0260267175108766,0.9998535899190857,0.01320247461184258,-0.010433128385133337,0.0031053537865652764,36.393320623433056
1125,2159.944,468.60200000000003,-112.038,292.901,3.134921,0.041301,-0.032991,38.6,0,0,-3.0579631379079357,-1.9511011902871789,-0.5092222219517446,0.046568419375661,-0.1377741261397312,0.0255101742035932,0.9998530276724534,0.013172558382141049,-0.010522163472681421,0.003113010721375287,6.631666004858838
1250,2160.944,505.316,-112.06099999999999,292.91499999999996,3.134858,0.041315,-0.032927,38.6,0,0,-3.079950766571012,-1.848382775104063,-0.3673611762562045,0.041574597287594,-0.1428817119187156,0.0256810262523811,0.9998530783948111,0.013177289029959767,-0.010501962867953171,0.003144750254107274,36.714009873616305
