,bolt1,nut1,jig1,bin1
x,663.3253347988265,697.7864431390121,684.0255924732149,582.893151487502
y,-12.863019596486282,-12.534787155361641,11.712659278794955,-280.3598809240287
z,67.40232210816293,67.39818307001192,69.88959205183544,23.086892122488422
rx,-0.15212456876469133,0.3244090499346127,-0.008006562560241669,0.0020359698088198617
ry,-0.903496757637188,0.20015524843342308,-0.0002360894878466713,0.006487903217293415
rz,-0.0698792207557998,-0.005014523583711407,-0.02285121865917274,-0.05148847239290243
qx,-0.07341447753176807,0.16122410185570543,-0.00400318347751064,0.001017870499452784
qy,-0.43602255015217506,0.09947271867689413,-0.00011804186001804206,0.0032435870412123903
qz,-0.033723326375041475,-0.0024921069901751415,-0.011425330194962217,-0.025741342962744038
qw,0.8963020626472606,0.9818888718294948,0.9999267085232301,0.9996628563396895
