,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,2468.192,315.04900000000004,-111.98600000000003,292.942,3.135005,0.04138,-0.033092,0.0,0,0,-3.0589279089327754,-1.978945339719816,-0.2737696993947314,0.0396386403134722,-0.1351411947832881,0.0296329767261137,0.9998524967900306,0.013197394044721289,-0.010554088055290406,0.0030699639234256656
125,2469.192,319.787,-112.02800000000002,292.883,3.134919,0.041295,-0.033683,0.0,0,0,-2.9886693906025763,-1.7726102305263485,-0.1644909178202038,0.0196644155431493,-0.1294124550902781,0.0297907108049143,0.9998507145643277,0.013170622672526439,-0.010742852245519022,0.0031103712402666926
250,2469.792,341.944,-112.01,292.89799999999997,3.13498,0.041231,-0.033483,0.0,0,0,-2.959952357074755,-1.963038562126128,-0.2377033084851889,0.0420965938082653,-0.1275977966985565,0.0300418190378761,0.9998517616564259,0.013149968416020546,-0.010678867659615725,0.0030813679929222607
375,2470.784,365.116,-111.989,292.896,3.134983,0.041515,-0.033429,0.0,0,0,-3.026941508203961,-2.239911260838991,-0.3093067101772619,0.0623286962497357,-0.1327225512439597,0.0299846603670815,0.9998507601535527,0.01324051974373537,-0.010661624340920864,0.003078282588006878
500,2471.592,385.946,-111.99399999999999,292.95,3.134966,0.041379,-0.033525,0.0,0,0,-2.9066522279866605,-1.6077013013692594,-0.3999117546500759,0.0065653999297025,-0.1247126784441309,0.0301947516886257,0.9998509776324,0.013197219237290319,-0.010692302253079048,0.003087167709285871
625,2471.992,403.18199999999996,-112.01499999999997,292.959,3.13495,0.041397,-0.033464,0.0,0,0,-3.0197357300614978,-1.4744799817654928,-0.1641124903200774,0.0002051184159857,-0.1334422883967734,0.0301121955533622,0.9998510828307421,0.01320302884446139,-0.01067290280095311,0.003095373535789469
750,2472.592,414.588,-112.02400000000002,292.928,3.134951,0.041385,-0.03347,0.0,0,0,-3.0886996862879004,-1.9321570112816584,-0.2619920706098229,0.0365303173681968,-0.1401045906865112,0.0298461319094995,0.9998511144177045,0.01319919780888974,-0.010674813354199338,0.0030949207953458076
875,2473.192,417.643,-112.012,292.98,3.134923,0.041476,-0.033236,0.0,0,0,-2.8793799718289423,-2.0089703993316874,-0.2259328871343098,0.0421021118625491,-0.1209037109915697,0.0307748038632306,0.9998514767646478,0.013228343997696445,-0.010600280670928707,0.003109562079931949
1000,2473.792,437.003,-112.03799999999997,292.92,3.13494,0.04151,-0.033501,0.0,0,0,-3.0103841514827776,-2.177858013181673,-0.4934799424036855,0.0564553644317345,-0.1359261466049441,0.0307483009168052,0.9998504669330521,0.013239102784229042,-0.01068473096541694,0.0030994282413346614
1125,2474.592,463.075,-112.039,292.888,3.134912,0.04155,-0.033593,0.0,0,0,-3.104717611024794,-1.9188035471950429,-0.289906373719937,0.0382427819480937,-0.1400682227426408,0.0295140863406622,0.9998499403626736,0.01325197167323009,-0.010714163283244727,0.003112669058876979
1250,2475.192,467.50100000000003,-112.08400000000002,292.896,3.134874,0.041387,-0.033541,0.0,0,0,-3.0506615501886727,-1.88018659184056,-0.2756152787292826,0.0315457891189811,-0.1370945828444927,0.0300145095107801,0.9998507383301477,0.013200154936775713,-0.01069771659541388,0.0031330224939379375
1375,2475.792,486.624,-112.08299999999998,292.95700000000005,3.134866,0.041458,-0.033086,0.0,0,0,-3.0105430805563858,-1.8869032924370792,0.00233243513985,0.0346235830257017,-0.1336862094478967,0.0303198867999139,0.9998519615250138,0.013222849914766379,-0.01055263669930919,0.003138970118720451
1500,2476.192,503.66200000000003,-112.085,292.978,3.134835,0.041472,-0.03329,0.0,0,0,-2.990141052921975,-1.7730151193417958,-0.2548428440762368,0.0255343944848945,-0.1306431871546389,0.0301457392680222,0.9998511659447904,0.013227435432506767,-0.010617798166188037,0.0031532955497972663
1625,2476.8,514.543,-111.96899999999998,292.88199999999995,3.13512,0.041536,-0.033642,0.0,0,0,-2.9102774196480152,-2.0752380555442165,-0.2031298325003767,0.0469429966688405,-0.1243547529859849,0.0302336478451694,0.999850169983588,0.013246630642667045,-0.010729081954945222,0.0030085147183919188
1750,2477.4,520.143,-111.99300000000001,292.801,3.13498,0.041603,-0.033961,0.0,0,0,-3.084722140793674,-2.0314057084958868,-0.2580720746458473,0.0455086102748599,-0.1383185106327916,0.0295696056838682,0.9998485707785116,0.013268569525195829,-0.010831283552752818,0.0030763406057772993
1875,2477.8,533.5980000000001,-112.012,292.88199999999995,3.134968,0.041556,-0.033572,0.0,0,0,-3.0358938052812205,-1.8669556786685484,-0.0207356519490691,0.0364873026352171,-0.1330255763607363,0.0300764377646559,0.9998500784316317,0.013253650391106028,-0.010707275746708335,0.003084745962733409
2000,2478.392,557.5029999999999,-111.983,292.788,3.13512,0.041574,-0.033605,0.0,0,0,-3.083498956245496,-1.833945645314096,-0.3228629208736156,0.0265845760833715,-0.1400945149906979,0.030770826887716,0.9998501360743174,0.013258749125122378,-0.010717281578624562,0.003008461296146804
2125,2478.8,564.182,-111.995,292.917,3.135089,0.041593,-0.033369,0.0,0,0,-3.129638877776069,-1.847377502894728,-0.280274880587806,0.029360019761245,-0.141406565733121,0.0303593332294045,0.9998508063900953,0.013264948647449317,-0.010642128998070259,0.003025093196134681
2250,2479.4,568.732,-111.97000000000001,292.917,3.13507,0.041622,-0.033481,0.0,0,0,-3.143297709502264,-1.8537479507399497,-0.4033378150978225,0.0274196449398095,-0.1431296889945041,0.0292056198887524,0.9998502748272308,0.01327427079422756,-0.010677907367775045,0.0030338024059144773
2375,2480.2,598.874,-112.02400000000002,292.894,3.135069,0.04152,-0.033506,0.0,0,0,-3.0411614506821647,-1.7481482326664897,-0.5645765840234367,0.0187237819392099,-0.1352090072296645,0.0302932164845367,0.9998506176422339,0.013241749270751474,-0.01068588754975431,0.0030348449659307686
2500,2480.6,610.789,-112.00300000000001,292.841,3.135062,0.041619,-0.033368,0.0,0,0,-2.926877044625661,-1.660404785386579,-0.1010524329801599,0.0148874927552548,-0.1244631104945102,0.0295934595676653,0.9998506568694249,0.013273352963433769,-0.010641900134166077,0.0030384240030589225
2625,2481.4,614.46,-112.05700000000002,292.922,3.134985,0.0415,-0.033743,0.0,0,0,-3.006854143805969,-1.9961985056855407,-0.2837962246665522,0.0430327898925076,-0.133977071964928,0.0300800651408397,0.9998497590337948,0.013235714046447588,-0.01076175178480195,0.003075700288591779
2750,2481.8,614.464,-112.03200000000002,292.922,3.134996,0.041594,-0.033742,0.0,0,0,-3.040704542596876,-1.9585176914303408,-0.2711874704623839,0.0382505274650117,-0.135385966953,0.0292905052373247,0.999849385084762,0.013265642228320414,-0.010761391067653687,0.0030695837148572657
2875,2482.6,618.5469999999999,-112.04400000000004,292.966,3.135051,0.041578,-0.033175,0.0,0,0,-3.1796534850848523,-1.7002936727126687,-0.4094930340732146,0.0187345209483131,-0.1450231871600134,0.0292488889173971,0.9998514616965267,0.013260334225637218,-0.01058039318715462,0.003045219129838241
3000,2483.2,621.5039999999999,-112.04599999999998,292.96299999999997,3.13501,0.041557,-0.033121,0.0,0,0,-3.0431271442802506,-1.6324338448582998,-0.2630771050169812,0.0116625927653553,-0.1343270914452968,0.0291300748379378,0.9998516648378559,0.013253812790283532,-0.01056331143795223,0.0030661407261718455
3125,2483.6,624.595,-112.02000000000001,292.907,3.13504,0.041631,-0.033123,0.0,0,0,-3.012867223542921,-1.985382585282183,-0.1536826966158471,0.0396295224170302,-0.1318241013471371,0.0295393817284225,0.9998513952144007,0.01327728304397096,-0.010563845362000675,0.0030506415643675303
3250,2484.4,629.528,-111.99900000000001,292.976,3.135018,0.041697,-0.033019,0.0,0,0,-3.0368832542532043,-1.9452419955275964,-0.3148401667038794,0.0377673953010522,-0.1337412684531292,0.0294218400453324,0.9998514293797508,0.013298426053964432,-0.010530751130197654,0.0030617498902159365
3375,2485.0,634.565,-112.04700000000001,293.03499999999997,3.134963,0.041555,-0.032538,0.0,0,0,-3.1103918783518973,-2.038113209213937,-0.1903297595068067,0.0454646881953306,-0.1403441653456005,0.0297811476240854,0.9998535338157686,0.013253398396636345,-0.010377549681861468,0.003092702646599391
3500,2485.4,636.891,-112.04700000000001,292.969,3.134982,0.041628,-0.032806,0.0,0,0,-2.9755276032185822,-2.006141161706708,-0.3657297185937685,0.0467651699424809,-0.127788474959227,0.0288102281111533,0.9998523713216061,0.013276584845902087,-0.010462949035616986,0.00308132355791948
3625,2487.2,645.2280000000001,-112.072,293.048,3.135001,0.041517,-0.032994,0.0,0,0,-2.931245333400148,-2.3816156248251144,-0.1273674754006577,0.0721316917111211,-0.124878444120084,0.0293608582289825,0.9998522433004702,0.013241101226157702,-0.010522843506415377,0.0030715744945271494
3750,2488.2,649.3489999999999,-112.08099999999999,292.981,3.134979,0.041514,-0.033418,0.0,0,0,-3.0657254956826825,-1.949727682383828,-0.3090456203378016,0.0384128331912526,-0.1350421313766758,0.0296009033182638,0.9998507950418974,0.013240218165853529,-0.010658130044478808,0.0030803475390714405
3875,2488.8,649.364,-112.08299999999998,293.011,3.134943,0.04157,-0.033325,0.0,0,0,-3.04997906863762,-1.9327102468650763,-0.2764012322966241,0.0368464533026154,-0.1349621845229461,0.0295755571947118,0.9998508147950064,0.013258230969758755,-0.010628591461804438,0.003098468791552897
4000,2490.192,649.353,-129.628,293.115,3.13499,0.041714,-0.033021,0.0,0,0,-3.078581162326906,-1.9582411798966333,-0.08632210359647,0.0306725588427462,-0.1402992335981695,0.0305445908247824,0.9998513054160564,0.013303965037887003,-0.01053148174512314,0.003075624218081314
4125,2492.2,649.361,-162.118,293.025,3.134868,0.041675,-0.033282,0.0,0,0,-3.039378486039893,-1.9535563074433424,-0.2623559298213367,0.0375961493507163,-0.1351023140770406,0.030029850712068,0.9998503936342716,0.013292031803159899,-0.010615126634019622,0.003135494614798952
4250,2494.2,649.366,-171.986,293.093,3.134849,0.041448,-0.032988,0.0,0,0,-3.061220364908339,-1.4236622686078515,-0.497564288461052,-0.0052718592933439,-0.1381999308700757,0.0295456654177201,0.9998523029037513,0.013219736660603009,-0.01052144067168433,0.003148051283208764
4375,2496.2,649.42,-186.952,293.089,3.134774,0.041569,-0.032879,0.0,0,0,-3.0376907211023565,-1.90697570231872,-0.2759838699552371,0.0309341199778514,-0.1369392164782654,0.03283296261474,0.9998520323419082,0.013258642930055176,-0.010486923450101857,0.0031853172464637435
4500,2498.2,649.301,-202.118,293.008,3.134694,0.040994,-0.033469,0.0,0,0,-3.037488480618196,-1.7024880179837096,-0.3361497020579412,0.017115457423188,-0.1374623143531164,0.0288707792843072,0.9998523183294397,0.013075581201098752,-0.010675382427174076,0.003225975438782804
4625,2500.208,649.378,-216.222,293.127,3.134699,0.040987,-0.032726,0.0,0,0,-3.0790389024258937,-1.92025133101447,-0.3323089880870852,0.0346517454532017,-0.1401459692493337,0.0301252912950132,0.9998548447675473,0.01307336063924717,-0.010438402427111105,0.0032274434510343956
4750,2502.208,649.316,-224.94,293.193,3.134465,0.041172,-0.032758,0.0,0,1,-3.1911013709435254,-1.4344812115383154,-0.2921727712992922,-0.0039062921912352,-0.1506667877524981,0.0306798684105449,0.9998535643566062,0.013133332467164315,-0.010449375909826305,0.0033430472314208426
4875,2504.008,649.28,-271.31699999999995,293.209,3.134547,0.041326,-0.032909,0.0,0,1,-3.033093470925589,-1.9266117276668355,-0.3077021043028003,0.0371683443718445,-0.136299595718174,0.0301971289744256,0.9998525632381119,0.013182098411151026,-0.010497257818626751,0.0033002493762369365
5000,2506.008,649.3100000000001,-271.42100000000005,293.069,3.134571,0.041252,-0.033132,0.0,0,1,-3.0473921818281307,-1.892878413336324,-0.4107409088140975,0.0351425522520889,-0.1374798937766102,0.0295715812069841,0.9998521689116967,0.013158388076692252,-0.010568304900537373,0.0032875640417044114
5125,2508.008,649.1980000000001,-221.732,293.057,3.134672,0.041299,-0.033607,0.0,0,1,-2.937162100853444,-2.087344686375175,-0.1760571091788813,0.0504050503556536,-0.12665259267366,0.0295404835736464,0.9998505422361643,0.013172934056198337,-0.010719455551627339,0.0032342342333409406
5250,2509.208,649.2470000000001,-221.466,273.935,3.134651,0.041063,-0.033818,0.0,0,1,-2.946832120614816,-1.9597317687541984,-0.1559414729579226,0.0383887965121184,-0.1272116791368682,0.0304920232026174,0.9998507699857139,0.013097749053378948,-0.010786831879969054,0.003245148178899277
5375,2510.208,649.335,-221.542,243.485,3.134548,0.041014,-0.032938,0.0,0,1,-3.1924926599768657,-2.309934614366225,-0.1770308234594307,0.0662912073468657,-0.1516785714104839,0.0305129754332466,0.9998537683561651,0.013082588767299067,-0.010506517501762732,0.003301645817886222
5500,2510.808,649.226,-221.548,236.736,3.134638,0.040892,-0.033418,0.0,0,1,-2.906773733663101,-1.869705663840905,-0.320882673318336,0.0326731888615707,-0.1259736299072951,0.0305761957040507,0.9998528178341989,0.013043286474188108,-0.010659311048479366,0.0032549093591681877
5625,2512.008,649.284,-221.526,195.245,3.134634,0.040987,-0.033501,0.0,0,1,-3.1659228250557105,-1.1533008090741217,-0.2258357384667524,-0.0272721219616989,-0.1485476184535712,0.0303813249169467,0.9998521362680561,0.013073596314344455,-0.010685791839530915,0.0032558458772713227
5750,2512.808,649.258,-221.558,187.053,3.134569,0.040934,-0.033089,0.0,0,1,-3.052199507308631,-1.6407404089695317,-0.2979792251895529,0.0163040703949064,-0.1374008062382006,0.030589747909477,0.9998536320714906,0.013056981223005266,-0.010554611122490381,0.0032908750878203963
5875,2513.808,649.119,-221.552,149.427,3.134633,0.040919,-0.033919,0.0,0,1,-3.13076474667656,-1.7483501211568062,-0.3535128208015501,0.0279375271522014,-0.1450171075583642,0.0304801445212189,0.9998509902915796,0.013051895603645194,-0.010819112074587387,0.00325454267395087
6000,2514.208,649.223,-221.498,143.348,3.134653,0.04105,-0.033699,0.0,0,1,-3.214071333778756,-1.9836533296430456,-0.2875055658858757,0.0413449978617249,-0.1530981760012141,0.0306784750967022,0.999851234012634,0.013093600202707804,-0.010748872916712553,0.0032448741369998915
6125,2514.808,649.218,-221.48499999999999,143.117,3.134699,0.041024,-0.033687,0.0,0,1,-3.0290463367498965,-1.93998637776046,-0.2791062642403202,0.0380993234229772,-0.1366007294485774,0.0306323120970057,0.9998514614765179,0.013085118014716141,-0.0107448900780456,0.003222112198957792
6250,2515.208,649.205,-221.5,143.08,3.134708,0.041005,-0.033761,0.0,0,1,-3.028161576098422,-1.89119861355322,-0.2767388111690564,0.0332819059632303,-0.1369332073456622,0.0305488066349997,0.999851303079011,0.013079018104000388,-0.010768460680628145,0.0032173391503945016
6375,2515.808,649.227,-221.495,143.125,3.134746,0.027771,-0.033551,0.0,0,1,-3.1292588861923982,-1.929416896134729,-0.2916859389974943,0.0368617192453592,-0.1446360081770623,0.0311505092263506,0.9998981431095192,0.008858188616332698,-0.010701850357083948,0.003272048212952399
6500,2516.2,649.2320000000001,-221.525,143.10899999999998,3.134156,-0.037464,-0.033336,0.0,0,1,-3.0491544023188903,-1.9592339084233248,-0.2713895178566682,0.0397880399099485,-0.1374664187630523,0.0296575644511107,0.9998658295154216,-0.011951853525148638,-0.01063492924178825,0.0035177329024978815
6625,2516.808,649.204,-221.51399999999998,143.072,3.131613,-0.118844,-0.033178,0.0,0,1,-3.055094755359125,-1.994589327322677,-0.2990516690841318,0.0400640942789359,-0.1346510933784226,0.0295984237255568,0.9992175684617992,-0.037920079111395326,-0.010586250755257936,0.0037748870740500814
6750,2517.808,649.2059999999999,-221.48999999999998,143.066,3.127335,-0.194282,-0.032933,0.0,0,1,-3.0359947582005224,-1.9461379671345955,-0.265067758293964,0.0378606196803093,-0.1345493655853115,0.0298535655086637,0.9980126637512458,-0.062000360159343196,-0.010509763442458124,0.004027803947313429
6875,2518.808,649.2,-221.512,143.02100000000002,3.12738,-0.194248,-0.033022,0.0,0,1,-3.032903959860678,-1.9785949852279656,-0.2935457527039514,0.0407036866082393,-0.1327772036246662,0.0299981997870155,0.9980131812258254,-0.06198865006067511,-0.01053801945092672,0.004005934249969104
7000,2519.408,649.193,-221.535,142.975,3.127377,-0.19436,-0.033097,0.0,0,1,-3.0802971514336623,-2.1166181240445754,-0.401082840321853,0.0551348753568803,-0.1387350229144394,0.0294549433407523,0.9980107230720457,-0.06202429836130496,-0.010561937656226128,0.004003563281144528
7125,2519.808,649.1850000000001,-221.57,139.536,3.1273,-0.194348,-0.032985,0.0,0,1,-2.989385135346588,-2.007279219624256,-0.346879300734842,0.0434968053285258,-0.1283461783825379,0.0302864838755615,0.9980110808390154,-0.06202201820704792,-0.010526459086584249,0.0040429493149458
7250,2520.416,649.172,-221.554,118.82900000000001,3.127324,-0.194289,-0.032988,0.0,0,1,-2.856792631235263,-2.082959118578195,-0.1738002131398426,0.0488574380364085,-0.1204148128363498,0.0306651748100157,0.9980123073371469,-0.062002789982818184,-0.010527348619598673,0.0040327867501805635
7375,2520.8,649.161,-221.59,103.09599999999999,3.127301,-0.194462,-0.03285,0.0,0,1,-3.1821458248441425,-2.188772698990709,-0.2564525001613305,0.0570031920381235,-0.1433832800434078,0.0304370660247237,0.9980092945957232,-0.06205826795875214,-0.010483354601130337,0.004039623102905456
7500,2521.416,649.2130000000001,-221.494,93.171,3.127362,-0.194313,-0.032932,0.0,0,1,-2.977501350858621,-1.9848502191688264,-0.2596798109960084,0.0400301187968575,-0.1295284722466594,0.029847714019927,0.9980121468790367,-0.06200968557413765,-0.010509348141027625,0.004013374956764539
7625,2521.816,649.248,-221.53900000000002,93.146,3.127372,-0.194414,-0.032572,0.0,0,1,-3.0189965648492647,-1.966624917830348,-0.2975369099577631,0.0383987693726708,-0.1325765242366544,0.0309011314597171,0.9980113876422286,-0.062041671383217686,-0.010394422831144702,0.004007133940530606
7750,2522.816,649.208,-221.516,93.012,3.127401,-0.194301,-0.032965,0.0,0,1,-3.017547492527063,-1.9600281892870333,-0.2816157209373899,0.0397251620786282,-0.1337391611924507,0.0299261318465276,0.9980123995549801,-0.06200509856137163,-0.010519750665594185,0.0039941122717229915
7875,2524.216,649.4309999999999,-219.644,93.034,3.127332,-0.194324,-0.033007,0.0,0,1,-3.078134915110819,-1.8424472830796748,-0.3800659228784384,0.0280006326785573,-0.1451418102648457,0.0324002168979138,0.9980115833067438,-0.06201375578752102,-0.010533377438086425,0.004027609519175058
8000,2526.016,649.535,-218.727,92.986,3.127305,-0.194384,-0.033104,0.0,0,1,-3.0112356624951184,-1.984158467387919,-0.2691118961066778,0.0408023390423147,-0.132246624706925,0.0298784588021373,0.9980099933588514,-0.06203334006407018,-0.010564406995848317,0.004038710337111048
8125,2527.616,649.551,-218.718,92.967,3.127314,-0.194405,-0.033082,0.0,0,1,-3.020685109360681,-1.9821144619935045,-0.2828120420826853,0.0409240888705672,-0.1335133400526724,0.0301099611219417,0.998009684051014,-0.062039843977271664,-0.010557352529287318,0.004033684078297813
