,bolt1,nut1,jig1,bin1
x,660.6161145000915,538.3153533954239,681.5976803487766,678.5628903196173
y,-206.68071838729878,-151.06468960187448,5.223218607864439,215.96313332819176
z,31.728744603906506,-14.463383765228876,84.03595846308008,111.41686115042904
rx,-1.532296934635283,0.11382573807256502,-0.025223415703897287,-0.18506979944052665
ry,0.5751175623126715,-0.09512409540643425,0.04196338822263297,2.0001872351862944
rz,0.17589164544404168,-0.013465149891148461,0.0009437932050067035,-0.7576664418404294
qx,0.6825322348696116,0.0568602719402883,-0.012610447750260424,-0.07576030699081866
qy,-0.2561750704092234,-0.04751809234424318,0.020979597720527723,0.8187980936648022
qz,-0.07834755467182983,-0.006726352910089167,0.00047184945284586995,-0.3101588827782697
qw,-0.679989516346883,0.9972280063011514,0.9997002603006145,0.4771074565852834
