,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,3373.08,315.032,-112.039,292.935,3.134911,0.041324,-0.033112,0.0,0,0,-3.032672235981301,-1.7620772127127884,-0.2699114281094217,0.0388973106093818,-0.1349193508319422,0.0220248939088544,0.9998525102497209,0.013179929233576158,-0.010560783486162371,0.0031172206992723926
125,3373.68,315.052,-112.00700000000002,292.94100000000003,3.13497,0.041286,-0.033111,0.0,0,0,-3.058442793269805,-1.8500508338577613,-0.2939589874548493,0.0460732498653088,-0.1369241864380912,0.0216946037302565,0.9998527693288355,0.01316756505947754,-0.01056026853374899,0.003087980627854159
250,3374.48,315.701,-112.04700000000001,292.94599999999997,3.134912,0.041127,-0.033205,0.0,0,0,-3.114607268895184,-1.9062991696242608,-0.3674755578673803,0.046585319491606,-0.140509269155541,0.0222161682402475,0.999853021775299,0.013117100328989368,-0.010590447064558368,0.003117524135485405
375,3375.288,339.274,-112.04799999999999,293.00399999999996,3.134926,0.041051,-0.032495,0.0,0,0,-3.030094857910291,-2.1758763658981115,-0.3678651685556291,0.0718925287059818,-0.1351436617959829,0.0224943263686146,0.9998557215371109,0.013092837669795056,-0.010363980416554782,0.0031147425545476988
500,3375.888,360.662,-112.03000000000002,292.94100000000003,3.134919,0.04119,-0.033345,0.0,0,0,-3.3715216051956984,-2.809552614302036,-0.5663753246788098,0.1288787352561641,-0.1649825157540344,0.0217051268443061,0.9998522993701472,0.013137154807207575,-0.01063506742040147,0.0031128682536451817
625,3377.088,369.35,-112.05700000000002,292.961,3.134927,0.041034,-0.033005,0.0,0,0,-3.079969288693418,-2.3750941239039043,-0.1801738472895598,0.0863519313983769,-0.1411679145927338,0.022570319427535,0.9998541032936142,0.013087390320269076,-0.010526619815774256,0.00311169034151075
750,3377.488,381.64599999999996,-112.08800000000002,293.04,3.134858,0.040869,-0.032675,0.0,0,0,-3.4396398733277547,-2.8787235605084707,-0.6225817825123545,0.1349701195497446,-0.1704727713008889,0.0216439208529184,0.9998557699081789,0.013035073824835883,-0.010421616316193509,0.0031489911180823276
875,3378.688,414.971,-112.07699999999998,292.931,3.134908,0.041059,-0.033113,0.0,0,0,-3.015983001164656,-1.730294229768536,-0.3310051820397167,0.0386120617211321,-0.131568581979966,0.022564215046354,0.9998536067595323,0.013095436689031906,-0.010561124116123468,0.0031204559413814995
1000,3379.28,416.845,-112.06900000000003,292.982,3.134881,0.041065,-0.033014,0.0,0,0,-3.0969574347098354,-1.5693392017372088,-0.3960963845446783,0.0282242675646093,-0.1401993864152777,0.0225930094717112,0.9998538684772506,0.013097466573378158,-0.010529642309838222,0.0031344366739569445
1125,3380.488,458.231,-112.093,292.95799999999997,3.134839,0.04098,-0.033099,0.0,0,0,-3.038169220037545,-1.80297107006912,-0.1572263067764221,0.0398040384216491,-0.1353955762332197,0.0222860090292685,0.999853867200283,0.013070531366321397,-0.010556894038405856,0.0031555415862488593
