individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
coords,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw
33,,,,,,,,,,,390.61701638799605,271.12065449447414,15.454603878048133,-0.17537045322312253,0.15656052718554617,-0.19532000788369583,-0.08734432516025353,0.0779759266309067,-0.09728032268463936,0.9883457201539974,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,540.1548456777165,-115.30779518488765,210.37342423428345,-0.2854945807416644,0.07658201679925077,0.07069156430054625,-0.14219853013968922,0.038143807128305354,0.035209903146669455,0.9884760445879671,542.9718569585046,-111.55996197994516,148.60622395704448,-0.014836643579991758,-0.03804702024766175,0.007495656552150495,-0.007417788953744564,-0.019022143721009837,0.003747559080585253,0.9997845219127133,,,,,,,,,,
115,,,,,,,,,,,559.0702220235751,-135.5395013793621,166.2665511011901,-0.39179461040917174,0.15005882787970798,0.09875640006063988,-0.19438446725141137,0.07444999124236405,0.048996871583829586,0.976868048546166,544.1429952082653,-112.13540782954017,148.10630226533385,0.01785031798339643,-0.08223190634828283,0.00037790090368427246,0.00892252598189158,-0.041103823563003135,0.00018889470959786573,0.9991150226762646,,,,,,,,,,
