,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,1655.296,315.002,-112.008,292.95,3.134983,0.041174,-0.033055,40.7,0,0,6.714726298176128,-3.683807059036367,0.1813019072500377,-0.0667068230972879,-0.6574100035618217,0.1047238295752499,0.9998534454484476,0.013131798725190658,-0.01054237156606541,0.0030825134018011963
125,1655.896,315.005,-112.008,292.966,3.134983,0.041192,-0.032999,40.6,0,0,6.706087227897829,-3.669753763624165,0.1964539140594171,-0.069371301400757,-0.6577230802466457,0.1043645977046971,0.9998535576152079,0.013137541015465042,-0.01052451242885344,0.0030826901261482415
250,1656.296,315.00600000000003,-112.023,292.95799999999997,3.134985,0.041042,-0.032999,40.6,0,0,6.734235492709088,-3.713371228038133,0.1964690126356391,-0.0653971001503819,-0.6558053351710792,0.1040408623072238,0.9998541851176715,0.013089700737196343,-0.010524512319739344,0.0030826737938426207
375,1656.896,315.015,-112.003,292.949,3.134958,0.041174,-0.033092,40.6,0,0,6.714165265532819,-3.686269055667334,0.2045066736562416,-0.0678311800282274,-0.6567573926797916,0.1044668823706392,0.9998532807320735,0.013131901282525123,-0.010554254559705673,0.0030948164250489798
500,1657.296,315.019,-112.011,292.971,3.134972,0.041135,-0.032942,40.7,0,0,6.718856852096335,-3.714035935731958,0.1834129447044058,-0.065920325623527,-0.6568161219066772,0.1044798205961367,0.9998539673474705,0.013119413170783726,-0.010506374344766197,0.003088863173576694
625,1657.888,316.618,-112.023,292.978,3.134947,0.041131,-0.032996,40.6,0,0,6.888508009218697,-4.1335985390985295,0.3146348811317874,-0.0368733966567651,-0.6420296242883039,0.1041669364160213,0.9998537628774238,0.013118239358085261,-0.010523678633132704,0.0031011036788290455
750,1658.296,319.905,-112.008,292.89,3.134968,0.041197,-0.033438,40.6,0,0,6.725751437044465,-3.6673768855736144,0.1617840674162942,-0.069846589763718,-0.6555566234157324,0.1045946971113979,0.999852036284203,0.013139178562205518,-0.010664559379639978,0.0030878306756199044
875,1658.896,320.03999999999996,-112.01700000000001,292.978,3.134995,0.041135,-0.032856,40.6,0,0,6.717723372977022,-3.711062035101683,0.1735299629098382,-0.0669013266751722,-0.6571416882803629,0.1045870963449745,0.9998542912313023,0.013119321169507326,-0.010478872404165134,0.0030778160338928097
1000,1659.296,319.986,-112.009,293.002,3.134981,0.041213,-0.033007,40.6,0,0,6.76148230670327,-3.657686380677039,0.1951766751762392,-0.0703588021324769,-0.6528995225313908,0.104291222988289,0.9998534400540099,0.013144245475473666,-0.010527069381237942,0.003083509897104712
1125,1659.896,319.99699999999996,-112.005,292.981,3.13498,0.04125,-0.033007,40.6,0,0,6.729347148997011,-3.7132702754878366,0.1692569128958571,-0.0644351814370054,-0.656873663790054,0.1044210426120199,0.9998532840141868,0.01315604819347658,-0.010527071096292884,0.0030837665460691486
