,bolt1,nut1,jig1,bin1
x,665.1634133433913,697.1239959803339,683.2734419760384,492.1084939915544
y,-17.36324581953282,-15.439501569884513,8.977344495082953,-257.14541092741644
z,63.38962624501903,64.69802506459878,66.5284596455394,33.99615899890537
rx,0.2732399590576594,0.0566428427384393,-0.013104535972125795,-0.020452950650338628
ry,-1.0598677903737537,0.02315650394307819,-0.0036778734732430475,-0.007557197289564534
rz,0.4600812372693677,0.03287294199434693,-0.011277400520829086,0.019712923307690977
qx,0.1287357379570115,0.028315727613447896,-0.006552182688048922,-0.010226107161645934
qy,-0.49935178808103986,0.011575924272723052,-0.0018389127971776863,-0.003778462611384027
qz,0.21676513861410882,0.016433166599050666,-0.005638626855307389,0.009856106811190991
qw,0.8289075800078909,0.9993969024278998,0.9999609458318527,0.9998919977233237
