,bolt1,nut1,jig1,bin1
x,643.5466526395276,696.0669494782609,680.8649159307874,374.8386227763079
y,-186.3954325934123,-18.030047782395986,6.344190671308669,-140.82589187355745
z,28.034208052277055,87.64960839869107,83.16247179749952,68.19577250423042
rx,-0.3421824261661977,-0.34434950815083354,-0.014345562958806969,0.0654848992172639
ry,-0.009394508424384343,0.31249696898909396,-0.0005580023291919914,-0.01721342132311785
rz,-0.8501752417817589,-0.09268548659398254,-0.022723777666732028,0.06902501623175278
qx,-0.16516575760759142,-0.1705664225317283,-0.007172565557733438,0.03272969651418008
qy,-0.004534572738433692,0.1547889245978851,-0.0002789927658461415,-0.00860335837132717
qz,-0.41036542841010665,-0.045909843036637414,-0.011361546807330671,0.034499065588483556
qw,0.8968277010272262,0.9720286881769022,0.9999096917824637,0.9988315992520188
