,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,2428.84,315.052,-111.97200000000001,292.949,3.135016,0.041378,-0.032866,0.0,0,0,-3.0393235717098257,-1.98640896014093,-0.2618928543054747,0.0441210878206296,-0.1347057675823524,0.0294045956904137,0.9998532774073037,0.013196720180234937,-0.01048198089428202,0.0030656664674940525
125,2430.84,334.11,-112.01,292.921,3.134962,0.041272,-0.032769,0.0,0,0,-3.018882503893894,-1.5865945559840102,-0.4251761969528109,0.0123167547793472,-0.1318268536104245,0.0283387909275228,0.9998539549536761,0.013163149163801069,-0.010451231705480644,0.0030938686820904944
250,2432.84,371.362,-111.993,292.94599999999997,3.135017,0.041313,-0.033055,0.0,0,0,-3.227733118649385,-2.446444720986231,-0.3510508108535473,0.0897492396231139,-0.1508215609552271,0.0304966207793691,0.9998529205219716,0.013175980769968463,-0.010542251696834109,0.0030646017023437987
375,2434.832,419.675,-112.013,292.93,3.134959,0.041347,-0.033212,0.0,0,0,-3.0124937178831788,-1.9839254359186496,-0.2367556867498418,0.0447949023980281,-0.1297763467413923,0.0298326646163473,0.9998521572522665,0.013187058314290383,-0.01059251168728595,0.0030925438006967547
500,2436.84,467.49,-111.996,292.841,3.134906,0.041459,-0.033521,0.0,0,0,-3.01998460759811,-1.8454196173850728,-0.4243648253128929,0.0314242358191382,-0.1314687949607895,0.0295520102066783,0.999850557276199,0.013222981567585739,-0.01069122663660584,0.0031166562118296786
625,2438.84,517.9200000000001,-112.03699999999999,292.967,3.134866,0.0415,-0.033069,0.0,0,0,-2.7481727138199896,-1.470083023869624,-0.2759872160489381,0.0073019564736146,-0.1106971512586936,0.0287067953469698,0.9998518421153126,0.013236244052468423,-0.010547213363158513,0.0031387819725967104
750,2440.84,570.342,-112.024,292.95300000000003,3.134818,0.041511,-0.032782,0.0,0,0,-3.1575830017888222,-2.0035819950253893,-0.1993803933829771,0.0443661218123377,-0.1388910747244913,0.0287513719093108,0.9998526723298493,0.013239966173820736,-0.010455844742602957,0.0031642125866652485
875,2442.84,622.105,-112.101,292.969,3.134722,0.041488,-0.032952,0.0,0,0,-3.0820869646242346,-1.929306853230065,-0.3449452913116504,0.03426509232952,-0.1327705949429232,0.0287417699098816,0.9998520417297746,0.013233027205374157,-0.010510381615683793,0.0032114666549388753
1000,2444.84,664.08,-112.04,292.995,3.134712,0.041599,-0.032659,0.0,0,0,-3.055381516862829,-1.5107081857328124,-0.2543546788477203,0.0024971398702628,-0.1343088631174334,0.0281895758034151,0.9998525308701123,0.0132684806233127,-0.010416964558685774,0.0032172634276495366
1125,2446.84,674.0509999999999,-112.091,292.97200000000004,3.134707,0.041615,-0.032622,0.0,0,0,-3.376122766763664,-2.12169388655136,-0.2426773720713312,0.0534851832690978,-0.1581137605871292,0.028494983122898,0.9998525772264201,0.013273605795143683,-0.01040518006125621,0.0032198494955269943
