,bolt1,nut1,jig1,bin1
x,669.7404940329332,696.090369226126,681.3285817659716,543.6735758240311
y,-24.816357976645456,-17.365881147721822,5.694228571008058,-210.33450393013112
z,88.28057882584342,81.45190948688992,83.23020626582428,63.75802323810917
rx,1.2271026530250373,0.09057230110202873,-0.01654148521618947,0.024003518557083315
ry,0.506064731085213,-0.08298631330513807,0.002919579062286658,0.003665784925679329
rz,1.7152529501846165,-0.03087992836196118,-0.028771863954262802,0.010161979461638299
qx,0.5001720971918002,0.04525588350941136,-0.008270360103676155,0.01200141279439829
qy,0.20627406944130441,-0.04146542466202971,0.0014597220189533943,0.0018328395482493838
qz,0.699144169555273,-0.015429644866299864,-0.014385266658089644,0.005080843045459655
qw,0.4674144966127472,0.9979952152313557,0.9998612576045531,0.9999133921615794
