,bolt1,nut1,jig1,bin1
x,460.0723713734828,454.8193248150424,681.7484653369754,547.9617643843967
y,101.07571861382436,-23.26951004474863,6.934189753425947,-231.47901829534567
z,23.069264794246692,28.322420028869743,83.89537572863773,65.14538998187919
rx,0.5905327877605426,0.7615051002419942,-0.028586499645920676,-0.05545236384513712
ry,0.4539760554060396,-0.40867376488567514,0.02839850688771687,-0.02653746724355124
rz,-0.04993515501127831,0.24113037710580995,0.0011371021877343884,0.044624929504234884
qx,0.288457463705167,0.36810862169705955,-0.014292282096604412,-0.027719515890023663
qy,0.2217536168007035,-0.1975513181303812,0.014198292081539696,-0.013265543503121731
qz,-0.024391817800502046,0.11656149215219266,0.0005685126000407348,0.02230710030573929
qw,0.9311405180170049,0.9010454693768203,0.999796887356558,0.9992787634440848
