,bolt1,nut1,jig1,bin1
x,665.2650905880948,696.9671220470174,682.8018047707876,668.1041205873877
y,-16.420574754283322,-15.438746394992322,9.05107620039011,-219.69397608019864
z,64.46713206365655,65.80574553856746,67.33256373218384,27.221067157224088
rx,0.34820718653620447,-0.21472038134518123,-0.011933490867205397,-0.025785110259609483
ry,-1.1545631508608032,0.13481440209319082,7.210534211262309e-05,0.02346339635292505
rz,0.438698805515654,0.07726970428847256,-0.021117887559776116,0.042300401304547965
qx,0.1624012551663203,-0.1070462126223331,-0.005966599155295366,-0.012890941081832006
qy,-0.5384797101224696,0.06721006669516276,3.605178720367268e-05,0.011730229458782607
qz,0.20460587664608698,0.03852186337742952,-0.01055868492111144,0.02114755281108641
qw,0.8011253767973594,0.9912315477929345,0.9999264535792247,0.999624432657071
