,bolt1,nut1,jig1,bin1
x,399.3590006952168,553.7190576523343,552.5951489818557,685.695538361759
y,147.72848171236885,98.46499136449523,-106.6405198817227,30.833706275558413
z,11.577666725305903,18.432838500862204,159.26961702507208,51.69090898500967
rx,-0.03985041758289772,0.09562698658408716,0.016512087840822223,0.02107786218654128
ry,0.607890158068376,-0.3409825264662788,-0.02253696850779979,-0.02138269779527548
rz,0.5257534367061897,0.017426953343006004,-0.004974263244293472,-0.012454566199267828
qx,-0.019391948718157925,0.04756342894148556,0.008255766896018533,0.010538467117574321
qy,0.2958105707929619,-0.1695995947086121,-0.011268106149684874,-0.010690878211758358
qz,0.25584132617413746,0.008667905228486842,-0.0024870481686024566,-0.006227008943935697
qw,0.9201441595497485,0.9843264525150957,0.9998993382776913,0.9998679263750214
