,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw,speed
125,1054.6,317.038,-112.045,292.907,3.134936,0.041051,-0.033314,0.0,0,0,-3.107223394196333,-2.185614133089816,-0.1574379720445146,0.0526874648487163,-0.1499411784622448,0.0392994134303243,0.9998530104168866,0.013092760404239068,-0.010625130206494856,0.0031054457621599086,1.9625483433536004
250,1055.6,352.35499999999996,-112.07300000000001,292.916,3.134917,0.041061,-0.033253,0.0,0,0,-3.185615020719316,-1.732154066723854,-0.1317980643338637,0.0128540025631178,-0.1572982922596346,0.0386181634686374,0.9998531430929535,0.01309603090242573,-0.010605740620013219,0.003115202665191687,35.317012246224856
375,1056.6,365.01099999999997,-112.051,292.934,3.134954,0.041118,-0.033034,0.0,0,0,-2.9702600646696413,-2.4580898491127785,-0.1068476716842141,0.0747708428766404,-0.1392524161342406,0.0384589795930992,0.9998537014849534,0.013114063076414618,-0.010535774105410782,0.003097489380948007,12.656031921577954
500,1058.6,414.94,-112.091,292.88100000000003,3.134834,0.041192,-0.033358,0.0,0,0,-2.966064918901282,-2.222762292056155,-0.0648730055170109,0.0533223125288037,-0.1380981213406785,0.039165703452495,0.9998521062427735,0.01313814637724113,-0.010639500069236979,0.0031552796922758595,24.162057693830608
625,1059.6,426.784,-112.053,292.86899999999997,3.134856,0.041247,-0.033513,0.0,0,0,-2.9880527151261687,-1.723948246535732,0.1233608483506605,0.0169628498926262,-0.1393559179724946,0.0381103783456129,0.999851388902427,0.013155586807833726,-0.010688854478893778,0.003143093310474181,11.844067037973057
750,1060.6,462.569,-112.064,292.901,3.134928,0.041191,-0.033236,0.0,0,0,-3.024275841828802,-2.3024228694013926,-0.1275104830867791,0.0603863753720903,-0.1431472286184126,0.0391844949033813,0.9998526772820733,0.013137440997026368,-0.010600276491883383,0.003108941011919202,35.78501599831977
875,1060.6,462.569,-112.064,292.901,3.134928,0.041191,-0.033236,0.0,0,0,-3.024275841828802,-2.3024228694013926,-0.1275104830867791,0.0603863753720903,-0.1431472286184126,0.0391844949033813,0.9998526772820733,0.013137440997026368,-0.010600276491883383,0.003108941011919202,35.78501599831977
1000,1061.6,470.326,-112.07300000000001,292.977,3.13492,0.041337,-0.032949,0.0,0,0,-3.0634412343713158,-2.03021587589184,-0.1649939222239922,0.0380891397326444,-0.1463743466355172,0.0391165406564388,0.9998530156266192,0.013184044284051125,-0.010508771200503194,0.0031134942632761444,7.757377520786266
1125,1062.6,507.776,-112.091,292.979,3.134881,0.041317,-0.032844,0.0,0,0,-3.076953855958813,-1.8659076309451288,-0.1544163040145482,0.0241306490182133,-0.1481437527076965,0.0388265564516382,0.9998533844605774,0.013177834273695772,-0.010475416629601953,0.0031336740450069196,37.450004379171965
1250,1063.6,515.869,-112.121,293.011,3.134861,0.041326,-0.032797,0.0,0,0,-2.9961646762633585,-2.170170066501906,0.0101126483640764,0.0474669262479012,-0.139705132522436,0.0389828110847756,0.999853469760586,0.013180789990792568,-0.010460493861685714,0.0031438592693221953,8.093118867284744
1375,1064.6,548.705,-112.11,292.95300000000003,3.134811,0.041451,-0.032708,0.0,0,0,-3.1824725749806086,-2.726625386949851,-0.3265846634569259,0.1002926258987626,-0.1562353293661298,0.038111760190943,0.9998531577640782,0.013220865067297138,-0.010432270744280108,0.0031684954144740375,32.836053066713134
1500,1065.6,564.8530000000001,-112.096,292.967,3.134791,0.041482,-0.033013,0.0,0,0,-3.006997588009748,-2.028960481152497,-0.1230479127495247,0.038053734230084,-0.1402510125970091,0.0387219913394145,0.9998519797472128,0.013230821392518317,-0.010529605771930167,0.0031766905965268997,16.148012137721498
1625,1067.592,568.822,-112.096,293.002,3.13481,0.041505,-0.032884,0.0,0,0,-3.0384112271575505,-2.0085796300636245,-0.2530318458848366,0.0362622622962666,-0.1413095631002295,0.0387177211265713,0.9998523451966713,0.013238081921197088,-0.010488401057623059,0.0031677176355056477,4.000626942607558
1750,1069.6,574.845,-112.08500000000001,292.839,3.134813,0.041604,-0.033457,0.0,0,0,-3.008579841613677,-2.056152375929845,-0.116105584985586,0.0394408592359474,-0.1407692168027088,0.038683976424214,0.99985001016197,0.013269614430838012,-0.010671125132500417,0.003162530691083201,0.20876062847199714
1875,1071.6,574.866,-112.098,292.91499999999996,3.134765,0.041603,-0.033176,0.0,0,0,-2.9760980838734112,-2.028807208127166,-0.1282937781524211,0.0382211171036942,-0.1373418015378579,0.0383273792153604,0.999850881289993,0.013269510223033491,-0.010581671301573422,0.003188026745563512,0.027856776554374737
2000,1073.6,574.836,-114.834,292.933,3.134759,0.041221,-0.033184,0.0,0,0,-3.0592149875285606,-1.8736943988299797,-0.286544075883778,0.0284105120474214,-0.1460903278120809,0.0391765462369309,0.999852445389867,0.013147714912507057,-0.010584259762175448,0.003193506813711977,2.7504206950937515
2125,1074.6,574.838,-150.762,292.993,3.134865,0.041568,-0.032929,0.0,0,0,-2.9678124785291806,-1.9865090931143368,-0.1954313109992464,0.0345519797667249,-0.1391904413098801,0.0400790029771713,0.9998520221854595,0.013257938972876084,-0.010502566215305922,0.0031395682397370975,35.92805015583228
2250,1074.6,574.838,-150.762,292.993,3.134865,0.041568,-0.032929,0.0,0,0,-2.9678124785291806,-1.9865090931143368,-0.1954313109992464,0.0345519797667249,-0.1391904413098801,0.0400790029771713,0.9998520221854595,0.013257938972876084,-0.010502566215305922,0.0031395682397370975,35.92805015583228
2375,1075.6,574.84,-162.116,292.919,3.134747,0.041613,-0.033177,0.0,0,0,-2.978869929019765,-2.025331546098587,-0.1390978683764964,0.037933254518213,-0.1397111543742711,0.0392865378871235,0.9998508054425265,0.013272774985311368,-0.010582050217183938,0.003196953756510292,11.354241322078737
2500,1075.6,574.84,-162.116,292.919,3.134747,0.041613,-0.033177,0.0,0,0,-2.978869929019765,-2.025331546098587,-0.1390978683764964,0.037933254518213,-0.1397111543742711,0.0392865378871235,0.9998508054425265,0.013272774985311368,-0.010582050217183938,0.003196953756510292,11.354241322078737
2625,1076.6,574.861,-162.128,292.937,3.134709,0.041481,-0.033126,0.0,0,0,-2.5632936165176665,-2.1989854266129973,0.0231281033316711,0.049710225169594,-0.1079882467030427,0.0409025011245174,0.9998514672150907,0.013230841750079249,-0.010565918464191443,0.003217095184064524,0.030149626863339773
2750,1076.6,574.861,-162.128,292.937,3.134709,0.041481,-0.033126,0.0,0,0,-2.5632936165176665,-2.1989854266129973,0.0231281033316711,0.049710225169594,-0.1079882467030427,0.0409025011245174,0.9998514672150907,0.013230841750079249,-0.010565918464191443,0.003217095184064524,0.030149626863339773
2875,1078.6,574.8720000000001,-210.632,292.97299999999996,3.134667,0.041362,-0.032896,0.0,0,0,-2.936855741210817,-2.050580197040928,-0.1235225969308745,0.0391168385350991,-0.1374210092666318,0.0391535876796289,0.999852662919092,0.013193077875148935,-0.010492710453578148,0.0032400890602424523,34.4220654377392
3000,1079.6,574.851,-212.171,292.936,3.134713,0.0416,-0.033112,0.0,0,0,-2.7962729844621603,-2.074978172247824,-0.0942032657192533,0.0396924892342246,-0.1258333062152028,0.0415127432736189,0.9998510206280348,0.013268775309933076,-0.01056143480919481,0.003214381063704499,1.5395879318830614
3125,1079.6,574.851,-212.171,292.936,3.134713,0.0416,-0.033112,0.0,0,0,-2.7962729844621603,-2.074978172247824,-0.0942032657192533,0.0396924892342246,-0.1258333062152028,0.0415127432736189,0.9998510206280348,0.013268775309933076,-0.01056143480919481,0.003214381063704499,1.5395879318830614
3250,1080.608,574.857,-227.185,293.041,3.134649,0.041571,-0.03272,0.0,0,0,-2.8452422935887487,-2.768116783610198,-0.3384854764934012,0.1038769983662188,-0.1331812635502442,0.0396514715833681,0.9998523393701445,0.013259813650573405,-0.010436628963622761,0.0032486264601210087,14.895206698096997
3375,1081.608,574.8760000000001,-260.898,293.014,3.134694,0.041494,-0.032866,0.0,0,0,-2.976541163908329,-2.031879642480646,-0.1191626733012982,0.039018829560776,-0.1411841207312632,0.0394297270765636,0.99985225537757,0.01323506201391169,-0.01048304690194297,0.003225876241600905,33.71301616586688
3500,1082.608,574.837,-262.182,292.969,3.13469,0.041525,-0.033075,0.0,0,0,-2.9884296228102825,-2.005892856399663,-0.1423337494446446,0.0363235966262212,-0.1417644791461447,0.0391170302432757,0.9998514209113549,0.013244955722366171,-0.010549714883016523,0.003226571763336954,1.2853800994258424
3625,1082.608,574.837,-262.182,292.969,3.13469,0.041525,-0.033075,0.0,0,0,-2.9884296228102825,-2.005892856399663,-0.1423337494446446,0.0363235966262212,-0.1417644791461447,0.0391170302432757,0.9998514209113549,0.013244955722366171,-0.010549714883016523,0.003226571763336954,1.2853800994258424
3750,1084.608,574.816,-255.46,293.05199999999996,3.13463,0.041487,-0.032844,0.0,0,0,-2.7699079667240785,-2.486475184614946,-0.3493705558717846,0.0767478026117248,-0.1203180111139797,0.0390726937531928,0.9998522483963843,0.013233099354380197,-0.010476243526773765,0.0032580331090440607,6.719912945864666
3875,1085.608,574.78,-217.947,293.059,3.134664,0.041493,-0.033096,0.0,0,0,-2.9044311043511986,-1.8694544217787936,-0.1623384771191393,0.0267750503178497,-0.1366977231958499,0.0383438158037392,0.9998514406305575,0.013234858927809718,-0.010556500881468932,0.003239670862822404,37.51301792711432
4000,1085.608,574.78,-217.947,293.059,3.134664,0.041493,-0.033096,0.0,0,0,-2.9044311043511986,-1.8694544217787936,-0.1623384771191393,0.0267750503178497,-0.1366977231958499,0.0383438158037392,0.9998514406305575,0.013234858927809718,-0.010556500881468932,0.003239670862822404,37.51301792711432
4125,1087.608,574.8109999999999,-212.191,279.791,3.134742,0.041411,-0.033064,0.0,0,0,-2.9035781020603117,-2.1166905623048837,-0.0664829034199601,0.0494998249759734,-0.1338809563112598,0.0390194472864243,0.9998520244672743,0.013208382758521849,-0.010546037708042945,0.003201387552003672,13.238008347179722
4250,1088.608,574.795,-212.125,244.764,3.134827,0.04165,-0.033391,0.0,0,0,-2.999051433288873,-1.98876241932944,-0.1643995958049304,0.0342270713335944,-0.1418551148615212,0.0394220493563884,0.9998500630303192,0.013284227526818161,-0.01065002740331297,0.0031555781706600673,35.02706583486546
4375,1089.608,574.799,-212.154,233.708,3.134788,0.041632,-0.033246,0.0,0,0,-3.1229462697443697,-2.000898774282577,-0.1144319756328147,0.036957518997005,-0.1522808609901387,0.0402052576217823,0.9998505625458144,0.013278658276064394,-0.010603917012058916,0.0031759652402423436,11.056038757167968
4500,1090.608,574.7710000000001,-212.15,196.867,3.134822,0.041567,-0.033217,0.0,0,0,-2.978025479137268,-2.0061380374870663,-0.1515923928190714,0.035975623767483,-0.1375683948673408,0.0394083621868751,0.9998509907185198,0.013257788203348296,-0.010594556998354954,0.0031595526832288575,36.84101085746699
4625,1091.608,574.823,-212.094,190.808,3.134866,0.041823,-0.033196,0.0,0,0,-2.9868449627620066,-1.952589951183102,-0.1716303375759062,0.0314819011840903,-0.1407440909175251,0.0391666397006136,0.9998500542616543,0.013339239641944875,-0.010587700527317556,0.0031359649687635245,6.059481908546305
4750,1092.608,574.77,-212.12800000000001,155.404,3.134904,0.041621,-0.033388,0.0,0,0,-2.940489846695295,-2.0054008816352877,-0.0886215798837162,0.0350840632043128,-0.1395721111549567,0.0393737205088084,0.9998503232083399,0.013274655396865204,-0.01064881176306517,0.003117292464250058,35.40405599645329
4875,1093.608,574.877,-212.089,143.15900000000002,3.134959,0.041688,-0.032684,0.0,0,0,-2.964428490942719,-2.0355675033153857,-0.1078015844509111,0.036425221114761,-0.136181868836893,0.0390416696128275,0.99985248508956,0.013295819944826578,-0.01042411675006505,0.0030930603302841172,12.245529592467589
5000,1095.608,574.871,-212.06900000000002,143.10999999999999,3.131601,0.166915,-0.033158,0.0,0,0,-3.2594230752090136,-2.074633080714093,-0.1498466587104617,0.0410585890116738,-0.167670623265433,0.0361257425666166,0.9985231498920144,0.05322149646913052,-0.010572557169358234,0.0026856057448060673,0.0043588989435810474
5125,1097.608,574.852,-212.072,143.08100000000002,3.10479,0.455479,-0.033989,0.0,0,0,-2.9850557575795635,-1.9967465741655743,-0.1459837972053712,0.0354049674276412,-0.145130498354019,0.0403187688823573,0.9893504387984563,0.14513971911577983,-0.01083069452823564,0.0016932927480959059,0.03192177939905251
5250,1099.608,574.8950000000001,-212.091,143.117,3.046341,0.761801,-0.034191,0.0,0,0,-2.9970175725092787,-1.9444814546814453,-0.0661920550371219,0.0320715824791557,-0.1475690427025788,0.0409791936254212,0.9700686378418271,0.24258586231040508,-0.010887690116257474,0.000628877374000087,0.03698648401791054
5375,1101.608,574.894,-212.07500000000002,143.03,-2.961821,-1.04427,0.03456,0.0,0,0,-3.0248994146542314,-1.9612384228763515,-0.1232699022172851,0.0337953690733492,-0.1493317494848625,0.0403367320306966,0.9430408816098765,0.33249453678623586,-0.011003869872094679,-0.0004398495325541016,0.07703246069029111
5500,1103.608,574.867,-212.09900000000002,142.97299999999998,-2.934432,-1.11729,0.034674,0.0,0,0,-3.0394093885331217,-1.9471303491462253,-0.1383295508469811,0.0318374396847856,-0.1485512589382564,0.040329318019856,0.9344928834286536,0.35580976274999737,-0.01104220722784005,-0.0007302140296497144,0.05374941860156088
5625,1105.608,574.88,-212.10899999999998,142.988,-2.934396,-1.117376,0.034607,0.0,0,0,-3.0898081966272715,-1.9485912449243208,-0.1352000426826869,0.0338083558102621,-0.1537749205197323,0.0401571762542421,0.9344825425093497,0.3558375779611638,-0.011020883803215744,-0.0007321039474330785,0.05687706040223324
5750,1106.608,574.903,-212.077,142.976,-2.934319,-1.117487,0.034619,0.0,0,0,-3.0210396357900087,-1.965147436039001,-0.1525489942314864,0.0342637864233643,-0.1453993682210433,0.0402224935040919,0.9344676287725405,0.35587658569983016,-0.011024818651440615,-0.0007482650330888556,0.04119465984809203
5875,1107.608,574.859,-212.106,138.14499999999998,-2.934414,-1.117349,0.034709,0.0,0,0,-3.013268691994148,-2.1020666899628955,-0.1250615359002478,0.0436073741987697,-0.1479841342613782,0.0404201037214634,0.9344857959540644,0.3558280357248425,-0.011053337222276619,-0.0007279344401651018,4.8312874060647815
6000,1109.608,574.845,-212.166,123.28999999999999,-2.934451,-1.117378,0.034909,0.0,0,0,-3.0785239385436656,-2.0761966189762098,-0.1324930416772204,0.0406761913796036,-0.1512878381955775,0.0409402879304484,0.9344835744173604,0.3558319383814285,-0.011116862097658348,-0.0007043784286859986,7.448250868492556
6125,1110.608,574.841,-212.23700000000002,114.95700000000001,-2.934604,-1.117257,0.034992,0.0,0,0,-3.160156251378765,-2.2548243877702587,-0.1276614909572039,0.0584652383824749,-0.1607748643885295,0.0401448579972995,0.9345023176595734,0.3557819916831647,-0.011142936184760803,-0.0006539541488290449,8.333303426612986
6250,1111.616,574.784,-212.25900000000001,108.509,-2.934688,-1.117388,0.034855,0.0,0,0,-3.1084727560608307,-2.0906556406158883,-0.2009149698042787,0.0442874063704469,-0.1543105435914441,0.0405171664043781,0.9344923265725675,0.35580971871771994,-0.01109887321673951,-0.0005921624146935211,6.397112562604627
6375,1112.616,574.8140000000001,-212.29600000000002,100.43299999999999,-2.934746,-1.117362,0.034799,0.0,0,0,-3.0432961808047865,-1.958344664379545,-0.1421265627783165,0.0345888168647043,-0.1497781935776131,0.0401682302708076,0.9344976165301152,0.35579642183729787,-0.011080884873045734,-0.0005699980170412404,8.076140476737644
6500,1114.616,576.195,-213.82399999999998,98.717,-2.934738,-1.117349,0.034712,0.0,0,0,-3.018336799725958,-1.912182609065258,-0.1449095146671838,0.0311380225350171,-0.147175542142805,0.0404482192860256,0.934498953106328,0.35579376106296456,-0.011053227804399187,-0.0005765300952271739,2.0872421996500936
6625,1115.616,578.044,-215.981,98.572,-2.934415,-1.117325,0.035238,0.0,0,0,-3.053153562782649,-1.9664129528902348,-0.1567092124259281,0.035913186932148,-0.1501794960291688,0.0406669238231123,0.9344866237625749,0.35582058669122085,-0.011221807293155745,-0.000728791200938652,2.844727579224379
6750,1117.616,577.9830000000001,-216.032,98.56099999999999,-2.934428,-1.11719,0.03536,0.0,0,0,-3.047640447977509,-1.9748926870824908,-0.1635480062584568,0.0310288378074795,-0.148056950311898,0.0400981237718678,0.934501022940015,0.35578150079618764,-0.011260782738972956,-0.0007460478425579324,0.04738143096187404
6875,1118.608,578.012,-216.029,98.54899999999999,-2.934414,-1.117266,0.035396,0.0,0,0,-3.043018548666093,-1.976238301901012,-0.1467711832369344,0.0340263200814051,-0.1485829999549283,0.0405155245475844,0.9344922950774753,0.3558040782766272,-0.011272195837588804,-0.0007388663963602898,0.03178202171447956
7000,1118.608,578.012,-216.029,98.54899999999999,-2.934414,-1.117266,0.035396,0.0,0,0,-3.043018548666093,-1.976238301901012,-0.1467711832369344,0.0340263200814051,-0.1485829999549283,0.0405155245475844,0.9344922950774753,0.3558040782766272,-0.011272195837588804,-0.0007388663963602898,0.03178202171447956
7125,1120.616,579.388,-214.792,98.482,-2.934392,-1.117239,0.03554,0.0,0,0,-3.029669633419419,-1.9890288648809955,-0.1302824605675866,0.0373799906348018,-0.1478348600557215,0.0402550374186483,0.934493772180994,0.35579870976260897,-0.011318156764097139,-0.000753135885863717,1.841823824365455
7250,1121.616,580.0959999999999,-214.22,98.444,-2.93447,-1.116929,0.035635,0.0,0,0,-3.031829049289142,-1.9602773359005223,-0.1244003385140911,0.0320865157407789,-0.1470627538761952,0.0402577891623191,0.9345294069380885,0.35570409510472156,-0.01134854178650277,-0.0007712930672081958,0.9109840832856518
