,bolt1,nut1,jig1,bin1
x,645.9900373989801,604.193195387397,681.2295931493067,375.85168973106715
y,-185.23804296291456,216.18667488970266,6.696866972228291,-141.01975996746467
z,33.52335385134624,19.419684677200834,83.58362895282865,69.38704292857794
rx,-0.37822343118617374,-0.17754052351610933,-0.03029323795586155,-0.010833839076712653
ry,0.14376383931994213,-0.18815890716324185,0.022579529589079408,-0.029243864477984976
rz,-0.823171795134351,0.021837835086998162,0.005934576793203539,0.06889355842770226
qx,-0.18255167460963895,-0.08852117041008274,-0.015145695849642248,-0.005415628846847205
qy,0.06938842877571007,-0.09381546452216566,0.01128907672670966,-0.014618448265554414
qz,-0.3973085147631428,0.01088827881567019,0.002967107551763518,0.034438571566472745
qw,0.8966638590608859,0.9915866610590077,0.999817163743784,0.9992852229083353
