,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,4891.896,315.012,-112.014,292.916,3.134945,0.041362,-0.033187,0.0,0,0,-3.065335178337426,-1.8677951909049173,-0.2796541973803254,0.0380862544063056,-0.1291183122111731,0.0196501099494362,0.9998521555300018,0.013191901247719478,-0.010584585530391816,0.0030995762015507797
125,4893.896,364.163,-112.02,292.962,3.134915,0.041316,-0.032999,0.0,0,0,-2.806993642997695,-2.327032508332346,-0.2986330414044124,0.0772163734437827,-0.1070551577566229,0.0204152538134217,0.9998529283574898,0.013177366400051693,-0.010524734094183991,0.0031158693742961607
250,4895.896,414.68300000000005,-112.056,292.806,3.134831,0.04133,-0.033865,0.0,0,0,-3.0593490145171347,-2.2983669586867053,-0.3252670204939934,0.0754190867579094,-0.1285590488845383,0.0208260178281063,0.999849800195185,0.013182143548429563,-0.01080119262684653,0.0031531538108892005
375,4897.896,467.908,-112.08500000000001,292.767,3.134763,0.041222,-0.034328,0.0,0,0,-3.103503039219554,-1.9081857108287783,-0.2073799139462735,0.0424761919087273,-0.1342839994639681,0.019921551736581,0.9998485395461103,0.013147965730477794,-0.010949089505502926,0.0031853420006460976
500,4899.896,520.029,-112.088,292.74,3.134694,0.041384,-0.034509,0.0,0,0,-2.975144511075547,-2.2581027798276265,-0.1711375406563045,0.0721820655632461,-0.1214634560413663,0.0202551132011529,0.9998471149418159,0.01319990819032164,-0.011007046968388978,0.0032177761466682456
625,4901.904,561.3639999999999,-112.094,292.799,3.134672,0.041378,-0.034118,0.0,0,0,-3.102769364298116,-1.8674708918724583,-0.2105524875948567,0.0351186231931039,-0.132801803928049,0.0196663676025893,0.9998484604255512,0.013198104808250578,-0.01088242398975043,0.003230953765189559
750,4903.904,610.737,-111.337,292.83799999999997,3.134625,0.041592,-0.034223,0.0,0,0,-2.687178067765298,-1.6205803372966745,-0.3237097443442517,0.0213586093811139,-0.0976518796211567,0.0181585131932467,0.9998471182307402,0.013266544272904397,-0.010916064258790326,0.003252462119228219
875,4905.904,610.7439999999999,-60.614000000000004,292.892,3.134573,0.04194,-0.03383,0.0,0,0,-2.376055293654636,-2.176783362605224,-0.1330824255067444,0.0671447761516925,-0.0669954630838499,0.0247752247884675,0.9998469108398307,0.01337776451230279,-0.010790886348383487,0.003278272794820597
1000,4907.904,610.773,-12.308,292.852,3.134536,0.041637,-0.033904,0.0,0,0,-3.1375939680510228,-1.7938335156300391,-0.2869491765592923,0.031522381333488,-0.1315506264873083,0.0192021723149037,0.9998478743813421,0.013281284995806697,-0.010814628491433826,0.0032983896926096034
1125,4909.904,610.746,38.487,292.981,3.134509,0.041511,-0.03355,0.0,0,0,-3.06936662562508,-1.6403105431754372,0.151196013661857,0.01975644098191,-0.1276383715779113,0.0185758936190826,0.9998495657367761,0.013241230228817116,-0.010701820581937662,0.0033146273153613435
1250,4911.904,610.75,87.039,292.89,3.134518,0.041724,-0.033777,0.0,0,0,-3.38156808269658,-2.136188845020028,-0.2254440368993389,0.0604119211844649,-0.1511800959958526,0.0186305142447886,0.999847910943821,0.013309112991605084,-0.010774180555973659,0.0033074954271801625
