individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
coords,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw
33,,,,,,,,,,,389.7305701723044,299.46837591557266,0.9959075745229171,0.09881696574833183,-0.0997962527286372,0.12356639363909248,0.04933647528996901,-0.04982540517705614,0.06169315441208621,0.9956290955489353,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,535.113824027176,-113.56486067363073,198.65891726617983,-0.2950507179576198,-0.19212024908083,0.039765585815804846,-0.14675484914116152,-0.09555841235020947,0.019778947117310826,0.9843477014417177,539.4863272267571,-110.1350915395537,135.89012087766102,0.08719366053357108,-0.221275479510147,-0.039459562087740145,0.043491325182014186,-0.1103699945075328,-0.01968203463183012,0.9927434645763581,,,,,,,,,,
115,,,,,,,,,,,556.7987856222472,-132.96058227699956,152.62636602014896,0.13442836558806384,-0.20661777524425498,0.02602323010108659,0.06704224910560622,-0.10304462378140718,0.012978331376249869,0.9923299377018201,540.4682956198507,-109.15397374074708,135.93458750655273,0.07957985393512722,-0.22040918072349555,-0.04246278665110733,0.03969596296755622,-0.10994434197933663,-0.02118125534354064,0.9929188419064675,,,,,,,,,,
