,bolt1,nut1,jig1,bin1
x,666.0481358199058,697.6034793958919,683.8144733127058,534.1054014079832
y,-15.632848942277548,-15.470202703128237,9.082381853046119,-252.16334260921616
z,65.92104379471726,66.8304157087058,69.47908398130588,26.120243824055734
rx,0.12342760875011712,-0.08327848313197,-0.016200456250923714,-0.009615013276010134
ry,-1.1989440714858552,0.2254155950269567,0.006520993810631589,-0.005071627473360802
rz,0.13773552531384872,0.05389320729849876,-0.015451676448105113,0.03203364096277181
qx,0.05799854196136406,-0.041534092058468176,-0.008100044611839614,-0.004807277418558323
qy,-0.5633829314491605,0.11242318211328986,0.003260423037569339,-0.0025356928303841577
qz,0.06472182136055679,0.02687855673013152,-0.007725663192370066,0.01601605680761366
qw,0.8216123949417259,0.9924280782547952,0.9999320342138961,0.999856962905208
