,bolt1,nut1,jig1,bin1
x,667.5836963996929,696.1704796226038,681.8876028354608,597.4033574002204
y,-20.49712499506378,-17.930582628589985,6.322370596644751,176.6631415894479
z,84.10965391290969,87.41861989632477,84.01415639161229,76.87418291847516
rx,1.8112054100844803,-0.28714574856639935,0.0039799249042038265,0.5899499096928432
ry,0.1169002231752963,0.5541772585006655,-0.0051253144337381805,0.18966651235225387
rz,1.7384230401725396,-0.1104656202827937,-0.034841914625548955,-0.5411167669061285
qx,0.6853940096687171,-0.14118145946334357,0.0019898583067583147,0.28672648958510133
qy,0.044237231319636486,0.27247331554493315,-0.002562523099355418,0.0921814079214372
qz,0.6578517993432687,-0.054312827440110976,-0.01742004558120726,-0.26299268544919985
qw,0.30904551279097225,0.950197981788644,0.9998429956504336,0.9165835235285679
