,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,401.936,315.019,-112.02,292.947,3.134909,0.041325,-0.03315,0.0,0,0,-3.046826036725069,-1.8206479192204967,-0.1649403176604066,0.0469809194326106,-0.1477970776233735,0.0200034718870665,0.9998523753441341,0.013180254805194136,-0.010572908573313625,0.0031180131915943877
125,403.936,361.26399999999995,-112.056,292.896,3.134857,0.041354,-0.033645,0.0,0,0,-3.018938686238599,-2.291196024249662,-0.225832810800228,0.0823467749077441,-0.1432177128676558,0.0198155807107687,0.9998504946824337,0.013189698080996156,-0.010730942398198861,0.0031411817953342917
250,405.936,405.957,-112.07300000000001,292.85299999999995,3.134793,0.041225,-0.033664,0.0,0,0,-3.0562137007074863,-1.953052499437456,-0.0278169250539356,0.0504087595474479,-0.1465166249470895,0.0203544207168099,0.9998508621449542,0.013148827304362913,-0.010737225527569998,0.003173924460706431
375,407.936,446.618,-112.094,292.929,3.134765,0.041216,-0.033268,0.0,0,0,-3.0510823305007007,-1.7770222743341253,-0.0337685552701558,0.038499463627401,-0.1459673095444752,0.01996587549891,0.9998521938907919,0.013146091660268915,-0.010611029147753935,0.003190095022943744
500,409.936,473.175,-112.05199999999999,292.846,3.134806,0.041221,-0.033618,0.0,0,0,-3.0536099528944254,-1.600993774004254,0.0182773097528234,0.0245774525796061,-0.1471389067261201,0.019699271816545,0.9998510572544899,0.0131474995362033,-0.010722511326947008,0.003167698512768496
625,411.936,521.649,-112.079,292.801,3.13478,0.041153,-0.03377,0.0,0,0,-2.717990394957837,-1.0372431788839174,-0.1156889305329454,-0.0260041293849551,-0.1181599143203119,0.0200060312248996,0.9998507787285403,0.013125916044193092,-0.01077107828863997,0.003180326466371043
750,413.936,565.97,-112.064,292.81,3.134704,0.041285,-0.033627,0.0,0,0,-2.8455772929848338,-1.1816970272488292,-0.283479860179947,-0.0151495196287174,-0.1318980072317427,0.019424478489453,0.9998505872458526,0.013168334711808524,-0.010725725841201047,0.00321822159283792
875,415.936,614.8209999999999,-112.091,292.782,3.134612,0.041388,-0.033726,0.0,0,0,-3.009557455153008,-1.7702997361524466,-0.1409075950965521,0.038707102543245,-0.1425399764021584,0.020072265711576,0.9998496613952594,0.01320156299593921,-0.010757608814174296,0.003263003961189205
1000,417.936,619.792,-112.076,292.799,3.134651,0.041427,-0.033641,0.0,0,0,-2.927020536187646,-1.865022036110132,-0.1613048015315798,0.04650677660244,-0.136483306699554,0.0201184012797938,0.9998498547518186,0.013213841009032135,-0.010730364867956888,0.003243705960153821
1125,419.936,626.692,-112.10199999999999,292.899,3.134616,0.041276,-0.033769,0.0,0,0,-3.02732879590345,-1.3625642844024428,-0.0169132092741793,-0.0018268627608223,-0.1431576663473104,0.0200721451160718,0.9998499899302747,0.013165825793131287,-0.010771314352365792,0.003261511112499536
1250,421.936,639.565,-112.163,292.92400000000004,3.134569,0.04118,-0.034009,0.0,0,0,-3.1743527616827416,-1.5578067909857956,-0.2651374468830869,0.0180204850725336,-0.1594961557544874,0.0195332981288339,0.99984948610509,0.01313539495790573,-0.010848024456615249,0.003284341650352246
1375,423.936,647.55,-112.14399999999999,292.854,3.134573,0.041182,-0.03467,0.0,0,0,-2.975285419644744,-1.7655277625856258,-0.137257743668025,0.0366166883006788,-0.1408749843263931,0.0202357182851089,0.9998471874629042,0.013135985945804205,-0.011058827466879504,0.00327870871064542
1500,425.936,649.458,-112.153,292.844,3.134531,0.041235,-0.034865,0.0,0,0,-2.987138935988023,-1.8606691988888475,-0.1630378275224944,0.045864864249905,-0.1409330934566773,0.0199348815985894,0.9998462072742246,0.013153054908996802,-0.011121165500234594,0.003298275886862768
1625,427.944,649.491,-147.381,292.888,3.134639,0.041156,-0.034589,0.0,0,0,-3.1645314636986908,-1.7056056988494326,-0.0898380028333974,0.0311942814922179,-0.1542961679091885,0.0196282103924085,0.9998476935115587,0.013127422862460943,-0.01103276385921036,0.0032463318119822122
1750,429.944,649.4159999999999,-193.17100000000002,292.792,3.134581,0.041127,-0.035147,0.0,0,0,-3.193711584434134,-1.376224242539298,-0.2661650324000154,0.0035877413117558,-0.1563690039277525,0.0202367312044837,0.9998457451638051,0.013118389973445194,-0.01121093326517077,0.003272414653445155
1875,431.944,649.4159999999999,-212.124,292.88199999999995,3.134457,0.041152,-0.034919,0.0,0,0,-2.8209346019255386,-2.2590302880868167,0.0034124697280194,0.0720942068447328,-0.1232582229260313,0.0213785434523573,0.9998462329259398,0.013126889977233148,-0.011138653555477359,0.0033355149983189964
2000,433.944,649.405,-226.389,292.969,3.134421,0.04086,-0.034604,0.0,0,0,-2.9839688453257205,-1.8368872501842968,-0.1666232757019434,0.0431643702198046,-0.140832637464473,0.0202764011525964,0.9998484893201199,0.013033925332181,-0.01103832482121369,0.0033571684274853724
2125,435.944,649.295,-232.013,293.00399999999996,3.134485,0.041414,-0.034957,0.0,0,0,-2.7094671071361933,-2.023050508773606,-0.000332202576782,0.0551664186910811,-0.1189359103757023,0.0208291570277807,0.9998450531378682,0.013210330574448967,-0.011150662237190625,0.00331958032284184
2250,437.936,649.36,-281.657,293.045,3.134435,0.041201,-0.034587,0.0,0,0,-2.9998486667892266,-1.8086171017680648,-0.1507474796137446,0.0409813217868695,-0.1425175215786834,0.0205549483786224,0.9998471576123922,0.01314262466466466,-0.011032838020357675,0.0033480317442491953
2375,439.944,649.357,-282.005,293.007,3.134428,0.04153,-0.03481,0.0,0,0,-2.9895191644661394,-1.7760921134361125,-0.165069233073337,0.0384329578339593,-0.1424616977901653,0.0208277630301911,0.9998449848125832,0.013247572513794088,-0.011103973012404822,0.0033481264845655785
2500,441.944,649.295,-235.267,292.97,3.134444,0.04162,-0.035077,0.0,0,0,-3.645355618244502,-2.179743935065635,0.1198233168212392,0.072340754000852,-0.1925143044402016,0.0152296179606254,0.9998436901647725,0.013276196475246593,-0.011189071210048649,0.003338042884341713
2625,443.936,649.318,-232.103,277.247,3.13447,0.041306,-0.03512,0.0,0,0,-3.076477224941217,-1.4071389281918938,-0.1379204068062764,0.0065762238860035,-0.1492437172569374,0.0204374342008814,0.9998449008508211,0.013175941538615467,-0.011202708246651216,0.0033268806896763975
2750,445.944,649.334,-232.07,235.9,3.134366,0.041224,-0.034659,0.0,0,0,-3.0108201461083723,-1.68513392360294,-0.1216525932601822,0.0300219510317788,-0.1467878943353023,0.0209139749933799,0.99984668684635,0.013150244680600137,-0.011056043333614405,0.003381977679211237
2875,447.944,649.399,-232.09,189.902,3.134358,0.041214,-0.034286,0.0,0,0,-3.0192069654134905,-1.7259255448062965,-0.3129681674832437,0.0369568644889925,-0.1457094591663754,0.020743172941555,0.9998480155802616,0.013147105759496808,-0.010937100695640014,0.0033880936726943794
3000,449.944,649.384,-232.118,143.204,3.134309,0.04945,-0.034292,0.0,0,0,-2.9134425905216004,-1.895760122497492,-0.0972193534682787,0.0489031368811661,-0.1359784244204375,0.0209594531784777,0.9998101226445217,0.015774006508219706,-0.010938771105760772,0.0033530080406956133
3125,451.944,649.39,-232.102,143.191,3.119447,0.328199,-0.035131,0.0,0,0,-2.938713724465,-1.7526320233925006,-0.1855099309709676,0.0359503094699876,-0.13744157352014,0.0199154412188043,0.9944457358030995,0.10462626742651548,-0.011199380256981025,0.002365711158766676
3250,453.944,649.379,-232.11399999999998,143.151,3.107528,0.432213,-0.03545,0.0,0,0,-3.0835761293286827,-1.6870348978925336,-0.1480148521416613,0.0317802101492377,-0.1511045301763065,0.0208664530167166,0.9904005283019454,0.1377506440936232,-0.011298272687584461,0.001975506339307217
3375,455.944,649.376,-232.15,143.072,3.107528,0.432212,-0.03551,0.0,0,0,-2.720631352001134,-2.303147030469484,-0.2041217996799121,0.082554836311286,-0.1205351506030552,0.0206281212348965,0.9904003581517852,0.13775030171811786,-0.01131739334865845,0.001975235979552985
3500,457.944,649.433,-232.151,133.119,3.107461,0.432124,-0.035279,0.0,0,0,-3.0010400214319306,-2.293139858172209,-0.0386564447009424,0.0771795307741445,-0.1368877640044588,0.0202009397003039,0.9904045187963675,0.13772580324591735,-0.011244060993401703,0.0020157778596055225
