,bolt1,nut1,jig1,bin1
x,665.2105790008968,698.6677493431735,684.8209362888757,421.9801598733031
y,-14.656591391459983,-14.753205137403583,9.25422010888155,222.5307990499213
z,66.84916763786572,69.21928680581226,70.46496013101682,39.684798798877836
rx,-0.36627560272065945,0.08532993339668002,-0.008601546565434107,-0.010949211015114629
ry,-1.0528849788421635,-0.06090585637281311,-0.0008139622476412105,0.015946928645371963
rz,-0.35362480420286846,0.01977331147245167,-0.018241152133595392,-0.16813950947210177
qx,-0.17287766263811427,0.042644736241231725,-0.004300700279474919,-0.005468073657779052
qy,-0.49694899910609563,-0.030438488314418546,-0.00040697421554165787,0.007963951039747837
qz,-0.1669066384639233,0.00988196777839312,-0.00912042125007539,-0.08396944960756753
qw,0.8338448177478262,0.9985776242300223,0.9999490768360733,0.9964215007650686
