,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw,speed
125,1574.344,315.02000000000004,-112.0,292.971,3.134981,0.041399,-0.033036,0.0,0,0,-3.0470262431673234,-1.7882116582899894,-0.1774148080298659,0.0406144236502493,-0.1378823664818445,0.017373610454776,0.9998525655141836,0.013203555734379788,-0.010536309264498436,0.003082132014851916,0.0451833363528689
250,1575.352,315.05699999999996,-111.985,292.93,3.134979,0.041568,-0.033074,0.0,0,0,-3.009354003863784,-1.7970012227113823,-0.2768456813354014,0.0422893154340133,-0.135320612381575,0.0180030700411948,0.9998517255385777,0.013257452929409606,-0.01054842663075667,0.0030818135843901193,0.056773428284962825
375,1576.344,324.22499999999997,-112.013,292.936,3.134991,0.041191,-0.033371,0.0,0,0,-3.0127577122914384,-1.7374170628550236,-0.29980900713797,0.037378040302587,-0.1358194901011481,0.0176742162654239,0.9998523253615182,0.013137172366353301,-0.010643115705799228,0.0030767286936234824,9.241980565180622
500,1577.344,361.12899999999996,-112.041,292.894,3.134979,0.041185,-0.033569,0.0,0,0,-3.172470558085123,-1.9858184996505928,-0.3557639953316014,0.0542636931768496,-0.148333819609851,0.0177244425005843,0.999851660059234,0.013135300306489947,-0.010706298312214667,0.0030817104182996307,36.90403452198689
625,1578.352,365.351,-112.055,292.949,3.134954,0.041171,-0.033033,0.0,0,0,-3.1828193936898748,-1.5894750372466349,-0.350366054789505,0.0229016513575582,-0.1505707464165115,0.0182129190352807,0.9998534841169721,0.013130963897581864,-0.01053545287772514,0.003097146902147223,4.1888704732702955
750,1579.352,394.951,-112.069,292.943,3.134867,0.041048,-0.033091,0.0,0,0,-3.032664585045729,-1.8270189828589625,-0.2118921978892234,0.0426209599879275,-0.1367624831840816,0.0180357133235063,0.9998536583101667,0.013092100228276263,-0.010554245971883888,0.0031411410911112735,29.60000391891868
875,1580.344,414.951,-112.07300000000001,292.903,3.134919,0.041192,-0.033301,0.0,0,0,-3.153843686047139,-1.388645781165314,-0.2308692695202895,0.0034983863293605,-0.1502434195505267,0.0179244231215031,0.999852439431177,0.013137794528359118,-0.010621035530901315,0.0031130889333029366,20.161331048346742
1000,1581.352,421.134,-112.081,292.901,3.134901,0.041169,-0.033303,0.0,0,0,-3.091193012629135,-1.7345535117714477,-0.3979905090517709,0.0418887203227379,-0.1420150749928042,0.0178464723551429,0.999852498864619,0.013130535071365091,-0.010621735030767607,0.0031222280270353426,6.133934026732186
1125,1582.344,458.409,-112.116,292.934,3.134815,0.041167,-0.033102,0.0,0,0,-3.0909970541739167,-1.851801076965759,-0.223807582010425,0.0444944353143766,-0.1426499250145253,0.018302089826491,0.999853039684701,0.013130264492386341,-0.010557922977797085,0.0031662991043804986,37.57563612858795
1250,1583.344,466.866,-112.11500000000001,292.925,3.134805,0.041233,-0.033037,0.0,0,0,-3.111190971534538,-2.1627368254605384,-0.2919353784814122,0.0743831758929556,-0.1425427841116909,0.01847350494109,0.9998529652816877,0.013151356246228976,-0.010537223978528524,0.00317120751878994,8.45700484805347
1375,1584.352,502.038,-112.143,293.038,3.134758,0.041147,-0.032678,0.0,0,0,-3.042446243202249,-2.2795235016431,0.0015755098576661,0.0765546408537414,-0.1390927199598585,0.0182837655363192,0.9998544386272207,0.013124142465285758,-0.010422891765635598,0.0031971501744868904,34.89304828068824
1500,1585.344,514.876,-112.109,292.925,3.134789,0.041213,-0.033158,0.0,0,0,-3.0644575791144706,-1.4664990401832307,-0.1354425345561689,0.0103013036449583,-0.1411232823578941,0.0176721217235003,0.9998526165538898,0.013145039709542,-0.010575867485720371,0.0031786991520832025,12.94207895544386
1625,1586.352,519.552,-112.129,292.89500000000004,3.134736,0.04122,-0.03316,0.0,0,0,-3.0275057307473414,-1.7940063763965266,-0.3038278178100226,0.0416909338190802,-0.1345926282939052,0.0184876662974668,0.9998524912668241,0.013147493023341833,-0.010576682888258497,0.003205138656555813,4.639026791302195
1750,1587.36,524.846,-112.152,292.86,3.134768,0.041155,-0.033308,0.0,0,0,-3.055976587872131,-1.7061687005601445,-0.1732909919669291,0.0341648598920147,-0.1384460935235663,0.0181178343116256,0.9998523184552346,0.013126624415594765,-0.010623778545368253,0.003188783555402366,5.252148468894876
