,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw
0,1153.12,315.06899999999996,-111.988,292.934,3.13503,0.041283,-0.032923,0.0,0,0,-3.020960113309624,-2.0547698521826447,-0.150533490575218,0.0411647363046366,-0.1403907654507079,0.0370877047396013,0.9998535077367554,0.013166365986895334,-0.010500115480622896,0.0030589946221669423
125,1153.92,315.042,-111.997,292.939,3.134994,0.041247,-0.03298,0.0,0,0,-3.001794085731391,-2.041593661719818,-0.1108727935913328,0.0395367903664407,-0.139188725016969,0.0366641109357546,0.9998534095260463,0.01315503429439445,-0.010518414212648895,0.0030769293629793254
250,1154.32,317.09700000000004,-112.003,292.982,3.135007,0.041198,-0.032901,0.0,0,0,-2.8618493967093213,-2.451745637343073,0.0063274739858557,0.0737384487089855,-0.1271613639764511,0.0370463296291513,0.9998538985070555,0.013139358512020442,-0.010493180115636307,0.003071167399526673
375,1155.52,358.43,-112.057,292.92600000000004,3.134948,0.041025,-0.033163,0.0,0,0,-2.9877200682911167,-2.1335567620749485,-0.1683554645219678,0.0512537998269033,-0.1389975231346591,0.036978953044759,0.999853646097424,0.013084426226893339,-0.010576936671845552,0.0031004171719251137
500,1156.52,370.57800000000003,-112.06,292.927,3.13495,0.041057,-0.03304,0.0,0,0,-2.914862021691835,-2.132018002322907,-0.1418353320143796,0.0481289201827514,-0.1305016314792157,0.0371109074534835,0.9998539285403366,0.013094627583878724,-0.010537703567512312,0.0030998571608943843
625,1157.32,401.72799999999995,-112.028,292.979,3.134918,0.041145,-0.033297,0.0,0,0,-3.197566851467087,-2.1340679471824986,-0.3758043838050394,0.045773490205007,-0.1579253354160715,0.0380883342325168,0.9998526471032539,0.01312281123942106,-0.01061976536247425,0.0031139186624933863
750,1157.92,414.516,-112.053,292.859,3.134954,0.041048,-0.033677,0.0,0,0,-3.055065043839328,-1.6752666986509197,-0.1566264760411948,0.0115557972983053,-0.1429541238357413,0.037024487979647,0.9998518217770059,0.013091712854575391,-0.010740830583793009,0.0030945277677915666
875,1158.712,427.27,-112.026,292.8,3.134976,0.041002,-0.033903,0.0,0,0,-3.0689389318332,-2.2763902114408943,-0.2894222683807763,0.064113716175453,-0.1433075503736126,0.0369676358075265,0.9998512758432527,0.01307694285765666,-0.010812828488930634,0.0030826125585418644
1000,1160.112,464.827,-112.057,292.854,3.134913,0.041188,-0.033681,0.0,0,0,-2.95433943621182,-2.074965761074569,-0.0659998400094178,0.0431536302875393,-0.1356289651819742,0.0370676055122598,0.9998511581309883,0.01313652707462668,-0.010742239691184355,0.003114085251878423
1125,1161.12,491.85699999999997,-112.054,292.84700000000004,3.134885,0.041096,-0.033461,0.0,0,0,-3.0405040710511697,-1.8351982141234533,-0.3104193618867695,0.024999558644748,-0.1405358034631587,0.036996337797019,0.999852242484523,0.013107315820881454,-0.010672179644795462,0.0031298645771557585
1250,1161.52,507.009,-112.076,292.859,3.134844,0.041173,-0.033672,0.0,0,0,-2.939192834116042,-1.8754378069396307,-0.0675026955966488,0.0268755896411282,-0.1330246321263029,0.0367077934013304,0.9998511369887036,0.013132031725736877,-0.010739605378986524,0.0031487269577196394
1375,1162.12,514.9,-112.062,292.86,3.134846,0.041312,-0.033719,0.0,0,0,-3.023083906421302,-2.342984900354016,-0.0878807155936114,0.0560684218607306,-0.1425259220137077,0.0377835319321256,0.9998503998168429,0.013176347328459967,-0.010754581128203466,0.0031465603340866647
1500,1163.72,562.245,-112.056,292.78900000000004,3.134791,0.041432,-0.033701,0.0,0,0,-3.104402241159236,-2.675185873653426,-0.3289359997355181,0.0936669398992919,-0.148550640736965,0.0370950905384411,0.9998498667974106,0.013214845800294283,-0.01074902293675704,0.003173361243188908
1625,1164.72,582.202,-112.055,292.823,3.134778,0.041457,-0.033946,0.0,0,0,-2.9335924502623283,-2.4437154970066954,-0.1060325011938421,0.0594449812636273,-0.1367553710119823,0.0374879993095156,0.9998489013816761,0.013222861684170348,-0.010827200779864595,0.0031783734848187203
