,bolt1,nut1,jig1,bin1
x,340.2821372309878,566.577046634821,551.7182169829332,712.8759894897493
y,-190.14070247960015,-131.41505517103758,-107.25409307519134,-64.78001205660624
z,43.546051960766135,157.01892610863757,158.78813772705925,50.54924700345427
rx,1.2265582719463222,-0.1991112511357185,0.015634778532717202,0.029228957870673356
ry,-1.4194360957112166,-0.1364216597985235,-0.014937477045958839,-0.04391274729746187
rz,2.3539017527073387,0.006372404882617473,-0.0045625297485424035,-0.07062903849799762
qx,0.4066127578674165,-0.09931397792934606,0.007817230186325236,0.014609747273943454
qy,-0.47055312307164016,-0.06804526430844592,-0.007468586537817501,-0.02194926493647451
qz,0.78033510947547,0.0031784686915444656,-0.0022812184516510727,-0.03530308563250861
qw,0.06574907168079307,0.9927217501041368,0.9999389517214122,0.9990287669522654
