individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
coords,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw
36,383.51846854775846,-356.73035866101156,8.257255049553883,0.0650751273300368,-0.04463722582891751,-0.48963099771533636,0.032205123804952,-0.02209058119608718,-0.24231419202903715,0.9694115063090811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,552.7719142220612,-113.70060850922897,210.28415415758352,0.05052692672248352,0.10147740849093353,-0.0297268381330656,0.025249008489662394,0.05070967333060429,-0.014854914737147519,0.9982837012138105,558.4856224715829,-134.99114843454018,147.42818958650213,0.25924975299005026,0.05813839795535982,-0.03106917554888733,0.1292387465331887,0.02898260688983867,-0.01548831293934501,0.991068850814459,542.9316357906752,-110.61666034261435,145.4464554523011,-0.00710865855110271,-0.06585159833678216,0.00014701224507691107,-0.0035536796112361937,-0.032919780953670506,7.349268700644459e-05,0.9994516766617624,,,,,,,,,,
152,532.469139480292,-132.89259505348886,210.51636659085358,-0.013807107394501047,-1.1732383934472301,-0.08264839858421126,-0.0065124157256893885,-0.5533828299554853,-0.03898287420124124,0.8319888024912863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
