individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
coords,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw,x,y,z,rx,ry,rz,qx,qy,qz,qw
33,,,,,,,,,,,503.2480323984017,220.20157551199188,1.947439679914055,-0.0157671085121054,-0.06106513156499448,0.32818184095322844,-0.007846920342328452,-0.030390684678578007,0.1633284100113558,0.9860723414684496,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,534.8052098889593,-113.64758064558981,194.17701498832642,0.09883340660468101,-1.077530329855673,0.3804128438125669,0.046752136738833085,-0.5097147518465317,0.17995042265689878,0.8400136634876754,541.1582104948661,-110.7923879802032,138.1182342348291,0.08874634847264902,-0.25117344662698643,-0.03323803914880755,0.044240047529077745,-0.125209942809588,-0.016569159824866207,0.9910049199468904,,,,,,,,,,
115,,,,,,,,,,,557.2563311511501,-133.80125020489135,155.29075598929484,0.007935829119603747,-0.2541971761328773,0.02088088789538987,0.003957157838725794,-0.1267540332529745,0.010412140681139366,0.9918716364945512,541.2920387818426,-109.74787972262827,137.65367122859772,0.09096888900693392,-0.21355265213985744,-0.043255291008012245,0.04537885946342302,-0.10652846149145775,-0.02157744029997373,0.993039203695485,,,,,,,,,,
