,bolt1,nut1,jig1,bin1
x,458.686530619409,698.4966439771592,681.3201236651067,682.3085696896117
y,90.3339364103098,-18.608336555608478,6.251636810038246,224.09857418008028
z,17.91388974534512,84.8798000317641,83.51688538601239,61.6646454639413
rx,0.6367754222409061,-0.47144684083297805,-0.016282734998406413,0.11565860211175419
ry,-0.06380679499992169,0.21185937931561785,-0.0022471716303751905,0.010830143249041526
rz,-1.0012717774403235,-0.12191122432819301,-0.022654623489253883,-1.5349912952054556
qx,0.2999824791467465,-0.23296333074646888,-0.008141101750878984,0.052286166311526244
qy,-0.03005913840569573,0.10468935706100385,-0.0011235491394021653,0.004896018633788154
qz,-0.4716953255500859,-0.060241881830612395,-0.01132694200156911,-0.6939285853576901
qw,0.8286196233842626,0.9649555123005266,0.9999020754476441,0.7181262453339636
