,bolt1,nut1,jig1,bin1
x,540.4072809981014,463.7521946730603,681.7338862402145,461.5574177370828
y,-117.14906808997893,-228.38546284904453,6.4427845174814795,35.748415503989165
z,-0.133901508125291,-4.217875806324425,84.03105971370132,60.214025010093124
rx,0.13538487821630496,-0.15993512926752051,-0.03713436662944122,0.010382343058581251
ry,-0.09760885875483995,-0.00623169232206433,0.03159967271402752,0.02803159725911415
rz,0.8980564849842004,0.02585673802849996,0.009335562688966861,-0.015650935534858936
qx,0.06536352841209256,-0.0798800067662498,-0.018565276637281407,0.005190925273291758
qy,-0.0471253473545285,-0.0031124345672616147,0.015798213860428553,0.014015133755651063
qz,0.4335797420310362,0.012914213519750925,0.004667302006652279,-0.007825096547104575
qw,0.8975051075567964,0.9967159677457038,0.9996919341648107,0.9998576889661082
