,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw,speed
125,4101.08,317.79600000000005,-112.023,292.907,3.134932,0.041342,-0.033519,0.0,0,0,-3.0005709786669126,-2.5691686923177484,-0.3254533870185847,0.0988917891977839,-0.1255998823345093,0.0234778361005102,0.9998510971396655,0.01318556321411375,-0.010690505862654898,0.003104441291872533,2.79108258566462
250,4102.08,353.963,-112.04400000000001,292.936,3.1349,0.041322,-0.03308,0.0,0,0,-3.1064564209915235,-2.046486401658412,-0.1759202571379471,0.0557119995058316,-0.1348006198393256,0.0222618268361301,0.999852607649968,0.013179338879489608,-0.010550615413908239,0.003122901959171896,36.16701772333459
375,4103.08,368.395,-112.066,292.95799999999997,3.134853,0.0414,-0.032915,0.0,0,0,-3.2163042908225705,-1.891351863934198,-0.2542577222938738,0.0410116559114227,-0.1420471194857394,0.0215870901195943,0.9998527542649934,0.01320441629211026,-0.010498148846734522,0.0031467522754955266,14.43203353654636
500,4104.088,405.16600000000005,-112.058,292.863,3.134828,0.041365,-0.03389,0.0,0,0,-3.4779318749368,-2.99387361506549,-0.5349045771366695,0.1329305255238886,-0.1683628489266743,0.0214446741355374,0.9998495629994587,0.01319331624365758,-0.010809174120574288,0.003154287735346442,36.47928927484207
625,4105.088,414.909,-112.066,292.932,3.134832,0.041363,-0.033358,0.0,0,0,-3.070705727299818,-1.8431902849150237,-0.2982152574640719,0.0372406520851039,-0.1302834248603734,0.0221123595377433,0.9998513885107577,0.013192685599410262,-0.010639499219716353,0.0031551539009564886,9.74324761052488
750,4105.088,414.909,-112.066,292.932,3.134832,0.041363,-0.033358,0.0,0,0,-3.070705727299818,-1.8431902849150237,-0.2982152574640719,0.0372406520851039,-0.1302834248603734,0.0221123595377433,0.9998513885107577,0.013192685599410262,-0.010639499219716353,0.0031551539009564886,9.74324761052488
875,4106.088,414.928,-112.053,292.956,3.134807,0.041401,-0.033263,0.0,0,0,-3.0773199958315804,-1.8274319881083416,-0.2993968349357362,0.0350222070156975,-0.1312107476892641,0.0226054288719881,0.9998515078399164,0.013204912543604879,-0.010609284943308836,0.003167905925503508,0.0332565782966376
1000,4106.088,414.928,-112.053,292.956,3.134807,0.041401,-0.033263,0.0,0,0,-3.0773199958315804,-1.8274319881083416,-0.2993968349357362,0.0350222070156975,-0.1312107476892641,0.0226054288719881,0.9998515078399164,0.013204912543604879,-0.010609284943308836,0.003167905925503508,0.0332565782966376
1125,4107.088,419.892,-112.054,292.928,3.134827,0.041329,-0.033345,0.0,0,0,-3.153469071553918,-1.8925868126019187,-0.2766451674411249,0.0391422574832661,-0.1382260360159916,0.0225627933061851,0.9998515663250072,0.013181864704063802,-0.010635371737932385,0.003157946856658171,4.964079068669232
1250,4108.088,419.927,-112.202,292.94399999999996,3.134882,0.041367,-0.033329,0.0,0,0,-3.0670415437388336,-1.8224897265654036,-0.3102664410931926,0.0363311862732308,-0.1298696132414289,0.0222399676892896,0.999851552756924,0.013193753124645734,-0.010630081898404952,0.0031302854322128176,0.1529215485142608
1375,4108.088,419.927,-112.202,292.94399999999996,3.134882,0.041367,-0.033329,0.0,0,0,-3.0670415437388336,-1.8224897265654036,-0.3102664410931926,0.0363311862732308,-0.1298696132414289,0.0222399676892896,0.999851552756924,0.013193753124645734,-0.010630081898404952,0.0031302854322128176,0.1529215485142608
1500,4109.088,419.93,-141.244,292.937,3.134885,0.041296,-0.033323,0.0,0,0,-2.7237745665245083,-1.149593846330328,-0.2406880344329388,-0.0191388227239564,-0.1000190354540528,0.0241312680102244,0.9998518749729756,0.013171099746524672,-0.01062816148908954,0.003129285518145472,29.042000998553803
1625,4109.088,419.93,-141.244,292.937,3.134885,0.041296,-0.033323,0.0,0,0,-2.7237745665245083,-1.149593846330328,-0.2406880344329388,-0.0191388227239564,-0.1000190354540528,0.0241312680102244,0.9998518749729756,0.013171099746524672,-0.01062816148908954,0.003129285518145472,29.042000998553803
1750,4110.088,419.902,-162.439,292.921,3.134787,0.041071,-0.033341,0.0,0,0,-3.193481536569117,-1.8856351515041383,-0.2380344768925163,0.0388459240323112,-0.1394344585613263,0.0227848299377822,0.9998525886510002,0.013099756273228525,-0.010634242504582607,0.0031796603324123064,21.195024534074022
1875,4110.088,419.902,-162.439,292.921,3.134787,0.041071,-0.033341,0.0,0,0,-3.193481536569117,-1.8856351515041383,-0.2380344768925163,0.0388459240323112,-0.1394344585613263,0.0227848299377822,0.9998525886510002,0.013099756273228525,-0.010634242504582607,0.0031796603324123064,21.195024534074022
2000,4111.088,419.92,-192.757,292.851,3.134789,0.040961,-0.033504,0.0,0,0,-3.1439024818724146,-1.981051885899274,-0.3124651806876174,0.0472161453490476,-0.1400642710903703,0.0223642974771497,0.9998524972668178,0.01306466181313834,-0.010686224198320035,0.0031785111923477217,30.318086153317804
2125,4111.088,419.92,-192.757,292.851,3.134789,0.040961,-0.033504,0.0,0,0,-3.1439024818724146,-1.981051885899274,-0.3124651806876174,0.0472161453490476,-0.1400642710903703,0.0223642974771497,0.9998524972668178,0.01306466181313834,-0.010686224198320035,0.0031785111923477217,30.318086153317804
2250,4112.088,419.901,-211.987,292.863,3.13475,0.041013,-0.033476,0.0,0,0,-3.359716356542601,-1.5016683125749046,-0.5307130923544017,0.009692218364996,-0.15178442674609,0.0220291819985322,0.9998523107649552,0.013081407710791325,-0.010677424341707516,0.003197817960864414,19.230013130520728
2375,4112.088,419.901,-211.987,292.863,3.13475,0.041013,-0.033476,0.0,0,0,-3.359716356542601,-1.5016683125749046,-0.5307130923544017,0.009692218364996,-0.15178442674609,0.0220291819985322,0.9998523107649552,0.013081407710791325,-0.010677424341707516,0.003197817960864414,19.230013130520728
2500,4113.088,419.916,-219.202,292.846,3.134777,0.041108,-0.03358,0.0,0,0,-3.0097028143887226,-2.0222406577244536,-0.313463307945768,0.0514527711774787,-0.1309730131011957,0.0223293931400754,0.9998516085793613,0.01311158654203485,-0.010710496158449214,0.0031831417898543963,7.215035620147696
2625,4113.088,419.916,-219.202,292.846,3.134777,0.041108,-0.03358,0.0,0,0,-3.0097028143887226,-2.0222406577244536,-0.313463307945768,0.0514527711774787,-0.1309730131011957,0.0223293931400754,0.9998516085793613,0.01311158654203485,-0.010710496158449214,0.0031831417898543963,7.215035620147696
