,time,x,y,z,rx,ry,rz,grip_width,grasp_detected,wrist_camara_capture,fx,fy,fz,tx,ty,tz,qx,qy,qz,qw,speed
125,4892.896,336.991,-112.02900000000001,292.962,3.134912,0.041289,-0.03265,0.0,0,0,-2.9615906532168026,-1.7575444721703384,-0.2547024156908052,0.0311858192139958,-0.1218845791453534,0.0198966224943282,0.999854195746507,0.013168784287462465,-0.01041344684990311,0.003119373847454657,21.979053255315602
250,4894.896,397.541,-112.07000000000001,292.845,3.134824,0.041352,-0.033893,0.0,0,0,-3.3097799226145805,-1.7313252558856949,-0.3340317925160848,0.0264962815031179,-0.1509839039538283,0.0199480305975931,0.9998496004461692,0.013189187232728213,-0.010810145165381537,0.0031563569631565453,33.378242509155555
375,4895.896,414.68300000000005,-112.056,292.806,3.134831,0.04133,-0.033865,0.0,0,0,-3.0593490145171347,-2.2983669586867053,-0.3252670204939934,0.0754190867579094,-0.1285590488845383,0.0208260178281063,0.999849800195185,0.013182143548429563,-0.01080119262684653,0.0031531538108892005,17.142050081597645
500,4896.896,449.85900000000004,-112.064,292.89,3.134855,0.041284,-0.033932,0.0,0,0,-2.918773528423024,-2.202215923078872,-0.3962886106090924,0.0645072557503343,-0.1185025827106288,0.0203986636142183,0.99984980261597,0.013167371138760074,-0.01082247934987905,0.0031410964361835484,35.17610120522169
625,4897.896,467.908,-112.08500000000001,292.767,3.134763,0.041222,-0.034328,0.0,0,0,-3.103503039219554,-1.9081857108287783,-0.2073799139462735,0.0424761919087273,-0.1342839994639681,0.019921551736581,0.9998485395461103,0.013147965730477794,-0.010949089505502926,0.0031853420006460976,18.049431320681528
750,4898.896,505.34100000000007,-112.077,292.78,3.134722,0.041365,-0.034222,0.0,0,0,-3.014582175112659,-1.8056541381279525,-0.2332455653044701,0.0368848655919991,-0.1259325655164553,0.0197695513742744,0.9998482402975981,0.013193744918978506,-0.010915419765920042,0.0032054765859962316,37.4330031122271
875,4899.896,520.029,-112.088,292.74,3.134694,0.041384,-0.034509,0.0,0,0,-2.975144511075547,-2.2581027798276265,-0.1711375406563045,0.0721820655632461,-0.1214634560413663,0.0202551132011529,0.9998471149418159,0.01319990819032164,-0.011007046968388978,0.0032177761466682456,14.688058585122747
1000,4900.904,557.157,-112.088,292.746,3.134676,0.041561,-0.034174,0.0,0,0,-3.1216519887686363,-2.0269549183633706,-0.3768024060155356,0.0512031185416021,-0.1355130636027265,0.0201839364589925,0.9998475056635128,0.013256445700570411,-0.01090026167251253,0.003227438815935362,36.83333381426867
1125,4900.904,557.157,-112.088,292.746,3.134676,0.041561,-0.034174,0.0,0,0,-3.1216519887686363,-2.0269549183633706,-0.3768024060155356,0.0512031185416021,-0.1355130636027265,0.0201839364589925,0.9998475056635128,0.013256445700570411,-0.01090026167251253,0.003227438815935362,36.83333381426867
1250,4901.904,561.3639999999999,-112.094,292.799,3.134672,0.041378,-0.034118,0.0,0,0,-3.102769364298116,-1.8674708918724583,-0.2105524875948567,0.0351186231931039,-0.132801803928049,0.0196663676025893,0.9998484604255512,0.013198104808250578,-0.01088242398975043,0.003230953765189559,4.207338113344231
1375,4902.904,592.722,-112.069,292.754,3.134616,0.041607,-0.034554,0.0,0,0,-2.9421189738266564,-1.2833645766526445,-0.7255232988997725,-0.0124087596295979,-0.1215491751938607,0.01881545621867,0.9998458875824242,0.013271350572013263,-0.011021660962466564,0.003255046564631309,31.35804225394187
1500,4903.904,610.737,-111.337,292.83799999999997,3.134625,0.041592,-0.034223,0.0,0,0,-2.687178067765298,-1.6205803372966745,-0.3237097443442517,0.0213586093811139,-0.0976518796211567,0.0181585131932467,0.9998471182307402,0.013266544272904397,-0.010916064258790326,0.003252462119228219,18.030061147982817
1625,4904.904,610.709,-79.114,292.75,3.134517,0.041382,-0.034464,0.0,0,0,-2.6525695409991097,-2.235648821579552,-0.3107070244524807,0.0712218886449508,-0.0940959352726554,0.0198389030153759,0.9998469750976924,0.01320001375761966,-0.01099331289310821,0.0033065233142242126,32.223132327568656
1750,4905.904,610.7439999999999,-60.614000000000004,292.892,3.134573,0.04194,-0.03383,0.0,0,0,-2.376055293654636,-2.176783362605224,-0.1330824255067444,0.0671447761516925,-0.0669954630838499,0.0247752247884675,0.9998469108398307,0.01337776451230279,-0.010790886348383487,0.003278272794820597,18.50057807204953
